,ds,dtl_id,name,ncells,nstep,phase,type,volt,vscale,Ek_i,Ek_o,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
dtl1,0.3,1,dtl1,1,50,181.10000000000002,dtl,0.0,0.018620047584566046,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.86526129238499e-09,127.85906676387754,-45.0,-172.85906676387754,0.0
dtl2,0.3,2,dtl2,1,50,190.20000000000002,dtl,0.0,0.019905493624825986,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.459578387715497e-08,23.577200291632607,-45.0,-68.57720029163261,0.0
dtl3,0.3,3,dtl3,1,50,196.0,dtl,0.0,0.02089185106310813,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.432630646192495e-08,-80.70466618061221,-45.0,35.70466618061221,0.0
dtl4,0.3,4,dtl4,1,50,201.8,dtl,0.0,0.021723388848660388,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.405682904669493e-08,175.01346734714275,-45.0,139.98653265285725,0.0
dtl5,0.3,5,dtl5,1,50,207.60000000000002,dtl,0.0,0.022455988344366778,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.378735163146491e-08,70.73160087489805,-45.0,-115.73160087489805,0.0
dtl6,0.3,6,dtl6,1,50,213.3,dtl,0.0,0.02311830891522658,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.3517874216234895e-08,-33.55026559734688,-45.0,-11.449734402653121,0.0
dtl7,0.3,7,dtl7,1,50,219.00000000000003,dtl,0.0,0.023727375538630156,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,6.324839680100488e-08,-137.8321320695918,-45.0,92.83213206959181,0.0
dtl8,0.3,8,dtl8,1,50,224.70000000000002,dtl,0.0,0.02429428092918027,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,7.297891938577486e-08,117.88600145816326,-45.0,-162.88600145816326,0.0
dtl9,0.3,9,dtl9,1,50,230.3,dtl,0.0,0.02482673011275473,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,8.270944197054484e-08,13.604134985918336,-45.0,-58.604134985918336,0.0
dtl10,0.3,10,dtl10,1,50,235.9,dtl,0.0,0.02533033307179594,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,9.243996455531483e-08,-90.67773148632614,-45.0,45.67773148632614,0.0
dtl11,0.3,11,dtl11,1,50,241.5,dtl,0.0,0.025809324889899864,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.0217048714008481e-07,165.04040204142893,-45.0,149.95959795857107,0.0
dtl12,0.3,12,dtl12,1,50,247.00000000000003,dtl,0.0,0.026266995805744556,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.119010097248548e-07,60.75853556918355,-45.0,-105.75853556918355,0.0
