,ds,name,phase,type,volt,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
qm1,0.09277777777777786,qm1,0.0,quadrupole,0.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.5046271033857298e-09,39.54160027697699,-45.0,-84.541600276977,0.0
dr1,0.22,dr1,0.0,drift,0.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,6.577112487853786e-09,172.8465161807975,-45.0,142.1534838192025,0.0
rf1,1e-05,rf1,-45.0,rfcavity,1.079561166,10.381682510592128,1.0055338606042,0.10476890558737287,0.6592385572420798,1.014512995934348e-08,-93.38598466845337,-45.0,48.385984668453375,0.0
dr2,0.3194444444444444,dr2,0.0,drift,0.0,10.763365021184256,1.0057373129643083,0.10666126608552548,0.6712816731283975,1.5140316913238442e-08,37.88752847990634,-45.0,-82.88752847990634,0.0
rf2,1e-05,rf2,-45.0,rfcavity,1.102665732,11.15321622942387,1.0059451195737454,0.1085589246133429,0.6833659157968742,2.0135498309463455e-08,169.1608955726996,-45.0,145.8391044273004,0.0
dr3,0.22,dr3,0.0,drift,0.0,11.543067437663485,1.0061529261831823,0.11042283057847027,0.6952425814663661,2.3458520073689508e-08,-103.5100924634396,-45.0,58.510092463439605,0.0
qm2,0.18555555555555572,qm2,0.0,quadrupole,0.0,11.543067437663485,1.0061529261831823,0.11042283057847027,0.6952425814663661,2.958400930597916e-08,57.46776456113241,-45.0,-102.46776456113241,0.0
dr4,0.22,dr4,0.0,drift,0.0,11.543067437663485,1.0061529261831823,0.11042283057847027,0.6952425814663661,3.570949853826881e-08,-141.55437841429557,-45.0,96.55437841429557,0.0
rf3,1e-05,rf3,-45.0,rfcavity,1.123753644,11.94037434869123,1.00636470698658,0.11228939695919085,0.7071436412174257,3.903251519851627e-08,-54.22550058299248,-45.0,9.225500582992481,0.0
dr5,0.3194444444444444,dr5,0.0,drift,0.0,12.337681259718977,1.0065764877899777,0.11412428953900593,0.7188501402631351,4.370104753529734e-08,68.46352922761412,-45.0,-113.46352922761412,0.0
rf4,1e-05,rf4,-45.0,rfcavity,1.14286711,12.741745801457014,1.00679187068642,0.11595945636105112,0.7305658443007007,4.836957517121671e-08,-168.84756450042482,-45.0,123.84756450042482,0.0
dr6,0.22,dr6,0.0,drift,0.0,13.14581034319505,1.0070072535828627,0.11776487877392028,0.742099059882497,5.148542300643815e-08,-86.96308339080542,-45.0,41.96308339080542,0.0
qm3,0.18555555555555572,qm3,0.0,quadrupole,0.0,13.14581034319505,1.0070072535828627,0.11776487877392028,0.742099059882497,5.7229018777515836e-08,63.978613473116184,-45.0,-108.97861347311618,0.0
dr7,0.22,dr7,0.0,drift,0.0,13.14581034319505,1.0070072535828627,0.11776487877392028,0.742099059882497,6.297261454859352e-08,-145.0796896629622,-45.0,100.07968966296221,0.0
rf5,1e-05,rf5,-45.0,rfcavity,1.160054872,13.555951676464897,1.0072258756572732,0.11956842020460903,0.753627710170967,6.608845804262121e-08,-63.19532263991459,-45.0,18.195322639914593,0.0
dr8,0.3194444444444444,dr8,0.0,drift,0.0,13.966093009734742,1.0074444977316837,0.12134401062801506,0.7649850845693519,7.047922202433309e-08,52.19395479947366,-45.0,-97.19395479947366,0.0
rf6,1e-05,rf6,-45.0,rfcavity,1.175371275,14.381649509216931,1.007666006310756,0.12311577723951699,0.7763254294779756,7.486998198698949e-08,167.58312661808395,-45.0,147.41687338191605,0.0
dr9,0.22,dr9,0.0,drift,0.0,14.79720600869912,1.0078875148898288,0.12486126203088709,0.787504925704564,7.780874308399552e-08,-115.18623175259745,-45.0,70.18623175259745,0.0
qm4,0.18555555555555572,qm4,0.0,quadrupole,0.0,14.79720600869912,1.0078875148898288,0.12486126203088709,0.787504925704564,8.322590649165068e-08,27.176822600579726,-45.0,-72.17682260057973,0.0
dr10,0.22,dr10,0.0,drift,0.0,14.79720600869912,1.0078875148898288,0.12486126203088709,0.787504925704564,8.864306989930583e-08,169.53987695375736,-45.0,145.46012304624264,0.0
