n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
   0  entry      0.00000       20.00000        0.00000        2.66930        1.88634        7.23477        5.10154        1.72984        4.61571        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05382            15.03330            18.18911          0.00000        0.00000        0.00000        0.00000        0.20833        0.00000        0.00982        0.79083        0.00673        0.39808       -0.00004          20.12218              0.0         10001.0
   1  quad       0.14950       20.00000        0.00000        2.48032        2.02394        6.74314        5.45096        1.72989        4.61250        0.00086           7.50798            12.46476            15.11796             7.44884            12.38070            14.60849             9.05382            15.03324            18.18904          0.00000        0.00000        0.00000       -0.00005        0.20833        0.00000        6.86676        0.68283       -4.22340        0.45827        0.00769          20.12337              0.0         10001.0
   2  drift      0.30350       19.99995       -0.00023        2.09846        2.31376        5.72243        6.20216        1.73253        4.61518        0.00089           7.50859            12.48234            14.95786             7.44823            12.37668            14.46719             9.06965            15.16707            19.04214          0.00000       -0.00016        0.00000        0.00006        0.20833        0.01661        5.75374        0.48872       -4.89533        0.59896        0.24727          20.14950              0.0         10001.0
   3  rfgap      0.30350       20.37485       -0.02530        2.09846        2.31376        5.72243        6.20216        6.86847       18.24954        0.00207           7.51502            12.50575            15.02193             7.45459            12.41982            14.48376             9.70301            20.91965            29.03491          0.00000       -0.00167        0.00000       -0.00030        0.21032        0.05834        5.40127        0.49297       -5.31505        0.60417       -2.04216          75.40888              0.0         10001.0
   4  drift      0.61150       20.37481       -0.02548        1.40231        2.94853        3.82702        7.97927        6.68550       17.94662        0.00157           7.51822            12.57918            14.79033             7.45564            12.45757            14.63014            10.02499            22.39331            32.61953         -0.00005       -0.00165       -0.00001       -0.00021        0.21032        0.21867        3.48419        0.22005       -6.90650        0.98101       -1.28020          69.15008              0.0         10001.0
   5  rfgap      0.61150       20.75306       -0.04325        1.40231        2.94853        3.82702        7.97927        6.62641       17.74547        0.00330           7.52428            12.59926            14.77919             7.50043            12.62302            15.01846            11.55711            33.27531            52.94402         -0.00005       -0.00272       -0.00001       -0.00066        0.21231        0.20995        3.31898        0.22195       -7.53951        0.98435       -2.82021          60.03192              0.0         10001.0
   6  drift      0.76550       20.75305       -0.04330        1.08560        3.29815        2.93286        8.94629        6.44677       17.44802        0.00301           7.52628            12.64839            14.78479             7.50291            12.74679            15.29309            11.82532            33.99387            55.40973         -0.00010       -0.00275       -0.00002       -0.00063        0.21231        0.30249        2.46915        0.13298       -8.49417        1.23122       -2.39126          55.53241              0.0         10001.0
   7  quad       1.06450       20.75305       -0.04330        0.79582        3.01732        2.22060        8.21227        6.10906       16.88465        0.00301           7.52693            12.65880            14.77968             7.47994            12.66009            14.97349            11.82648            34.01450            55.44336         -0.00022       -0.00593       -0.00002        0.00040        0.21231        0.35593       -0.03363        0.07146       13.91918        1.03364       -2.24310          49.86176              0.0         10001.0
   8  drift      1.21850       20.75276       -0.04468        0.82242        2.39400        2.26833        6.52695        5.96218       16.63752        0.00260           7.52736            12.66498            14.80419             7.48640            12.75555            15.19422            12.13486            35.78761            57.95565         -0.00031       -0.00596       -0.00001        0.00045        0.21231        0.49934       -0.27167        0.07631       10.96958        0.65013       -1.75156          46.28606              0.0         10001.0
   9  rfgap      1.21850       21.13568       -0.04904        0.82242        2.39400        2.26833        6.52695        5.90915       16.45605        0.00404           7.52740            12.65778            14.77850             7.51533            12.91988            15.86235            13.50150            44.28204            73.49717         -0.00031       -0.00701       -0.00001        0.00018        0.21428        0.48970       -0.33405        0.07702       10.48091        0.65366       -2.66662          41.61992              0.0         10001.0
  10  drift      1.52650       21.13500       -0.05228        1.00045        1.22693        2.73320        3.33159        5.55237       15.80457        0.00297           7.52777            12.56603            14.89749             7.53486            13.16469            16.78099            14.41976            49.77124            81.65913         -0.00053       -0.00710       -0.00001        0.00025        0.21428        0.75952       -0.85425        0.11397        5.21488        0.17124       -1.54303          34.40591              0.0         10001.0
  11  rfgap      1.52650       21.52191       -0.04685        1.00045        1.22693        2.73320        3.33159        5.50299       15.63589        0.00397           7.52592            12.54821            15.00084             7.54661            13.26313            17.14690            15.67740            57.47413            96.19102         -0.00053       -0.00838       -0.00001        0.00018        0.21625        0.74842       -0.95766        0.11504        5.06227        0.17255       -2.05464          31.65283              0.0         10001.0
