,ds,name,phase,type,volt,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
qm1,0.2,qm1,0.0,quadrupole,0.0,160.0,1.0852865319054603,0.3885784243094372,2.6389829824173003,8.584215549047688e-10,67.67795538869197,-45.0,-112.67795538869197,0.0
dr1,0.3,dr1,0.0,drift,0.0,160.0,1.0852865319054603,0.3885784243094372,2.6389829824173003,3.0044754421666907e-09,-123.12715613957812,-45.0,78.12715613957812,0.0
rf1,1e-05,rf1,-45.0,rfcavity,2.263504741,160.8002697758045,1.0857131083665048,0.389435758481925,2.645845014871824,4.29215060111179e-09,-21.606846608346473,-45.0,-23.393153391653527,0.0
dr2,0.6,dr2,0.0,drift,0.0,161.600539551609,1.0861396848275493,0.3902902027712426,2.652691982709974,6.8561632083631345e-09,-179.46009265265047,-45.0,134.46009265265047,0.0
rf2,1e-05,rf2,-45.0,rfcavity,2.263504741,162.4008093274135,1.0865662612885938,0.39114177769314634,2.6595240022837134,9.420175628820366e-09,22.68664657619763,-45.0,-67.68664657619763,0.0
dr3,0.3,dr3,0.0,drift,0.0,163.201079103218,1.0869928377496385,0.3919905035187168,2.6663411884997634,1.0696642412326488e-08,123.32328778782028,-45.0,-168.32328778782028,0.0
qm2,0.4,qm2,0.0,quadrupole,0.0,163.201079103218,1.0869928377496385,0.3919905035187168,2.6663411884997634,1.3674965414321835e-08,-1.8657267348664845,-45.0,-43.134273265133515,0.0
dr4,0.3,dr4,0.0,drift,0.0,163.201079103218,1.0869928377496385,0.3919905035187168,2.6663411884997634,1.6653288416317183e-08,-127.05474125755359,-45.0,82.05474125755359,0.0
rf3,1e-05,rf3,-45.0,rfcavity,2.263504741,164.0013488790225,1.087419414210683,0.3928364002784908,2.673143654844456,1.792975501588323e-08,-26.41811454776598,-45.0,-18.58188545223402,0.0
dr5,0.6,dr5,0.0,drift,0.0,164.801618654827,1.0878459906717275,0.39367948776650974,2.679931513408084,2.0471693396444048e-08,173.98830737564867,-45.0,141.01169262435133,0.0
rf4,1e-05,rf4,-45.0,rfcavity,2.263504741,165.6018884306315,1.088272567132772,0.3945197855442743,2.6867048749086715,2.301363159584904e-08,14.394715016738473,-45.0,-59.39471501673847,0.0
dr6,0.3,dr6,0.0,drift,0.0,166.402158206436,1.0886991435938165,0.39535731294461723,2.69346384871526,2.4279228158820162e-08,114.17434804138156,-45.0,-159.17434804138156,0.0
qm3,0.4,qm3,0.0,quadrupole,0.0,166.402158206436,1.0886991435938165,0.39535731294461723,2.69346384871526,2.7232188164790954e-08,-13.01428508788149,-45.0,-31.98571491211851,0.0
dr7,0.3,dr7,0.0,drift,0.0,166.402158206436,1.0886991435938165,0.39535731294461723,2.69346384871526,3.0185148170761746e-08,-140.2029182171441,-45.0,95.20291821714409,0.0
rf5,1e-05,rf5,-45.0,rfcavity,2.263504741,167.20242798224052,1.0891257200548612,0.3961920890754919,2.700208542870673,3.145074455529385e-08,-40.42329926063303,-45.0,-4.57670073936697,0.0
dr8,0.6,dr8,0.0,drift,0.0,168.002697758045,1.0895522965159057,0.3970241328236783,2.706939064113782,3.397126891664185e-08,158.2948413880431,-45.0,156.7051586119569,0.0
rf6,1e-05,rf6,-45.0,rfcavity,2.263504741,168.80296753384948,1.0899788729769502,0.3978534628584152,2.7136555179013335,3.649179310220246e-08,-2.987031822357494,-45.0,-42.012968177642506,0.0
dr9,0.3,dr9,0.0,drift,0.0,169.603237309654,1.0904054494379947,0.3986800976349505,2.720358008429264,3.7746841595024545e-08,95.96099135173472,-45.0,-140.96099135173472,0.0
qm4,0.4,qm4,0.0,quadrupole,0.0,169.603237309654,1.0904054494379947,0.3986800976349505,2.720358008429264,4.067519026384253e-08,-33.167999598655115,-45.0,-11.832000401344885,0.0
dr10,0.3,dr10,0.0,drift,0.0,169.603237309654,1.0904054494379947,0.3986800976349505,2.720358008429264,4.3603538932660517e-08,-162.29699054904495,-45.0,117.29699054904495,0.0
rf7,1e-05,rf7,-45.0,rfcavity,2.263504741,170.4035070854585,1.0908320258990392,0.3995040553980184,2.7270466386535865,4.4858587252283816e-08,-63.3489810299443,-45.0,18.348981029944298,0.0
dr11,0.6,dr11,0.0,drift,0.0,171.203776861263,1.0912586023600839,0.4003253541852459,2.7337215103108363,4.7358326495936954e-08,133.73046093966968,-45.0,-178.73046093966968,0.0
rf8,1e-05,rf8,-45.0,rfcavity,2.263504741,172.00404663706752,1.0916851788211284,0.401144011830483,2.740382723938061,4.985806556891894e-08,-29.190110546430333,-45.0,-15.809889453569667,0.0
dr12,0.3,dr12,0.0,drift,0.0,172.804316412872,1.0921117552821729,0.4019600459670715,2.747030378892439,5.110287300674799e-08,68.95050785201056,-45.0,-113.95050785201056,0.0
qm5,0.4,qm5,0.0,quadrupole,0.0,172.804316412872,1.0921117552821729,0.4019600459670715,2.747030378892439,5.4007326682945374e-08,-62.062364316587264,-45.0,17.062364316587264,0.0
dr13,0.3,dr13,0.0,drift,0.0,172.804316412872,1.0921117552821729,0.4019600459670715,2.747030378892439,5.691178035914276e-08,166.9247635148149,-45.0,148.0752364851851,0.0
rf9,1e-05,rf9,-45.0,rfcavity,2.263504741,173.60458618867648,1.0925383317432174,0.40277347403103897,2.7536645733704392,5.815658762876932e-08,-94.93463134782724,-45.0,49.934631347827235,0.0
dr14,0.6,dr14,0.0,drift,0.0,174.404855964481,1.0929649082042618,0.4035843132642315,2.7602854044266136,6.063614137871796e-08,100.55338629812377,-45.0,-145.55338629812377,0.0
rf10,1e-05,rf10,-45.0,rfcavity,2.263504741,175.2051257402855,1.0933914846653066,0.40439258071738005,2.766892967991988,6.311569496287567e-08,-63.95860912688204,-45.0,18.95860912688204,0.0
dr15,0.3,dr15,0.0,drift,0.0,176.00539551609,1.093818061126351,0.40519829325310525,2.7734873588920737,6.435055419738662e-08,33.3976929219607,-45.0,-78.3976929219607,0.0
qm6,0.4,qm6,0.0,quadrupole,0.0,176.00539551609,1.093818061126351,0.40519829325310525,2.7734873588920737,6.723179617849309e-08,-99.4451892876059,-45.0,54.4451892876059,0.0
dr16,0.3,dr16,0.0,drift,0.0,176.00539551609,1.093818061126351,0.40519829325310525,2.7734873588920737,7.011303815959953e-08,127.7119285028266,-45.0,-172.7119285028266,0.0
rf11,1e-05,rf11,-45.0,rfcavity,2.263504741,176.8056652918945,1.0942446375873955,0.4060014675488628,2.78006867086453,7.134789723067588e-08,-134.9317823335141,-45.0,89.9317823335141,0.0
dr17,0.6,dr17,0.0,drift,0.0,177.605935067699,1.09467121404844,0.4068021200998257,2.7866369965764357,7.380783769618722e-08,59.00992396740003,-45.0,-104.00992396740003,0.0
rf12,1e-05,rf12,-45.0,rfcavity,2.263504741,178.4062048435035,1.0950977905094845,0.4076002672217123,2.793192427641231,7.626777800056674e-08,-107.04838243531867,-45.0,62.04838243531867,0.0
