NAME,X,PX,Y,PY,T,PT,S,E,PHASE,SHIFT,KICK5
rf1,0.0,0.0,0.0,0.0,0.0,0.00193315,0.3035,0.0,0.0,0.0,0.0
rf2,0.0,0.0,0.0,0.0,0.013621946,0.00347357797,0.6115,0.0,0.0,2.388217123727642,0.013621946
rf3,0.0,0.0,0.0,0.0,0.05619511111,0.003824759778,1.2185,0.0,0.0,9.852199283617736,0.05619511111
rf4,0.0,0.0,0.0,0.0,0.06975656053,0.003814935688,1.5265,0.0,0.0,12.229810068993796,0.06975656053
rf5,0.0,0.0,0.0,0.0,0.07177578241,0.003766763784,2.1335,0.0,0.0,12.58382265063386,0.07177578241
rf6,0.0,0.0,0.0,0.0,0.06077932609,0.004029972025,2.4415,0.0,0.0,10.655909760379629,0.06077932609
rf7,0.0,0.0,0.0,0.0,0.02798364999,0.005173065146,3.0485,0.0,0.0,4.90612957139302,0.02798364999
rf8,0.0,0.0,0.0,0.0,0.02804979212,0.00631505419,3.3565,0.0,0.0,4.917725694844531,0.02804979212
rf9,0.0,0.0,0.0,0.0,0.08110712797,0.006089191321,3.9635,0.0,0.0,14.219806177055995,0.08110712797
rf10,0.0,0.0,0.0,0.0,0.1432658398,0.004297907285,4.2715,0.0,0.0,25.117551622622873,0.1432658398
rf11,0.0,0.0,0.0,0.0,0.3200466536,-0.001904215537,4.8785,0.0,0.0,56.110991668829776,0.3200466536
rf12,0.0,0.0,0.0,0.0,0.388656417,-0.009720171458,5.1865,0.0,0.0,68.13974378741709,0.388656417
rf13,0.0,0.0,0.0,0.0,0.4151311471,-0.01807629495,5.7935,0.0,0.0,72.78132757954837,0.4151311471
rf14,0.0,0.0,0.0,0.0,0.323439897,-0.02409102745,6.1015,0.0,0.0,56.705899473695226,0.323439897
rf15,0.0,0.0,0.0,0.0,-0.0561144122,-0.02091431597,6.7085,0.0,0.0,-9.838051046741143,-0.0561144122
rf16,0.0,0.0,0.0,0.0,-0.2641399704,-0.01282987826,7.0165,0.0,0.0,-46.309359938014175,-0.2641399704
rf17,0.0,0.0,0.0,0.0,-0.6093412703,0.003262242563,7.6235,0.0,0.0,-106.83049660631555,-0.6093412703
rf18,0.0,0.0,0.0,0.0,-0.687711055,0.02099215095,7.9315,0.0,0.0,-120.57038823438313,-0.687711055
rf19,0.0,0.0,0.0,0.0,-0.6610437505,0.03791443504,8.5385,0.0,0.0,-115.89504205032401,-0.6610437505
rf20,0.0,0.0,0.0,0.0,-0.5497458693,0.0521293178,8.8465,0.0,0.0,-96.38215411812662,-0.5497458693
rf21,0.0,0.0,0.0,0.0,-0.1495740924,0.05722939923,9.4535,0.0,0.0,-26.223522596235558,-0.1495740924
rf22,0.0,0.0,0.0,0.0,0.1389186905,0.05589455871,9.7615,0.0,0.0,24.35540380632257,0.1389186905
rf23,0.0,0.0,0.0,0.0,0.8570915049,0.03886370156,10.3685,0.0,0.0,150.26638694674565,0.8570915049
rf24,0.0,0.0,0.0,0.0,1.219409007,0.01419558701,10.6765,0.0,0.0,213.7883582378847,1.219409007
rf25,0.0,0.0,0.0,0.0,1.767219383,-0.02191089242,11.2835,0.0,0.0,309.8311791768958,1.767219383
rf26,0.0,0.0,0.0,0.0,1.728596446,-0.05677980939,11.5915,0.0,0.0,303.0597560988676,1.728596446
rf27,0.0,0.0,0.0,0.0,0.4606711086,-0.06468112886,12.1985,0.0,0.0,80.76545230506099,0.4606711086
rf28,0.0,0.0,0.0,0.0,-0.4851662613,-0.05287885688,12.5065,0.0,0.0,-85.0599740368652,-0.4851662613
rf29,0.0,0.0,0.0,0.0,-1.886001397,-0.01247195027,13.1135,0.0,0.0,-330.65619491441646,-1.886001397
rf30,0.0,0.0,0.0,0.0,-2.10658878,0.03197286616,13.4215,0.0,0.0,-369.32985911473463,-2.10658878
rf31,0.0,0.0,0.0,0.0,-2.059729212,0.07499597294,14.0285,0.0,0.0,-361.1143792774133,-2.059729212
rf32,0.0,0.0,0.0,0.0,-1.880861552,0.1140022983,14.3365,0.0,0.0,-329.7550706666543,-1.880861552
rf33,0.0,0.0,0.0,0.0,-1.308396693,0.1413402268,14.9435,0.0,0.0,-229.38979400235613,-1.308396693
rf34,0.0,0.0,0.0,0.0,-0.913588254,0.1607113384,15.2515,0.0,0.0,-160.17146979141148,-0.913588254
rf35,0.0,0.0,0.0,0.0,0.07537629018,0.1608547463,15.8585,0.0,0.0,13.215068311894624,0.07537629018
rf36,0.0,0.0,0.0,0.0,0.6841101217,0.1494189964,16.1665,0.0,0.0,119.93906796865448,0.6841101217
rf37,0.0,0.0,0.0,0.0,2.084632641,0.1117405837,16.7735,0.0,0.0,365.4804805361714,2.084632641
rf38,0.0,0.0,0.0,0.0,2.787170369,0.06139022694,17.0815,0.0,0.0,488.65030018413603,2.787170369
rf39,0.0,0.0,0.0,0.0,3.922496421,-0.009339880656,17.6885,0.0,0.0,687.6971264159021,3.922496421
rf40,0.0,0.0,0.0,0.0,4.030228769,-0.08126060108,17.9965,0.0,0.0,706.5849004735135,4.030228769
rf41,0.0,0.0,0.0,0.0,0.7114439063,-0.09245782175,18.6035,0.0,0.0,124.73126230256266,0.7114439063
rf42,0.0,0.0,0.0,0.0,-2.532839444,-0.04553205114,18.9115,0.0,0.0,-444.06067472397854,-2.532839444
rf43,0.0,0.0,0.0,0.0,-3.745894296,0.0223692005,19.5185,0.0,0.0,-656.7350143203403,-3.745894296
rf44,0.0,0.0,0.0,0.0,-3.779527345,0.09015260708,19.8265,0.0,0.0,-662.6316038050563,-3.779527345
rf45,0.0,0.0,0.0,0.0,-3.418917349,0.1509828424,20.4335,0.0,0.0,-599.4089946833818,-3.418917349
rf46,0.0,0.0,0.0,0.0,-3.11052424,0.2058941143,20.7415,0.0,0.0,-545.3411174686722,-3.11052424
rf47,0.0,0.0,0.0,0.0,-2.320466738,0.2468169473,21.3485,0.0,0.0,-406.8272182793871,-2.320466738
rf48,0.0,0.0,0.0,0.0,-1.823880357,0.2789688172,21.6565,0.0,0.0,-319.7650541426229,-1.823880357
rf49,0.0,0.0,0.0,0.0,-0.6377394109,0.2910303575,22.2635,0.0,0.0,-111.80929520549846,-0.6377394109
rf50,0.0,0.0,0.0,0.0,0.09158903162,0.2909380713,22.5715,0.0,0.0,16.057507030237563,0.09158903162
rf51,0.0,0.0,0.0,0.0,1.820480749,0.2625910793,23.1785,0.0,0.0,319.16903048788504,1.820480749
rf52,0.0,0.0,0.0,0.0,2.797991867,0.2187084328,23.4865,0.0,0.0,490.5475391563052,2.797991867
rf53,0.0,0.0,0.0,0.0,4.792129479,0.143292776,24.0935,0.0,0.0,840.16231461113,4.792129479
rf54,0.0,0.0,0.0,0.0,5.609863686,0.05564597115,24.4015,0.0,0.0,983.5285293806824,5.609863686
rf55,0.0,0.0,0.0,0.0,6.535653974,-0.04569015772,25.0085,0.0,0.0,1145.8392754945155,6.535653974
rf56,0.0,0.0,0.0,0.0,6.074773078,-0.1388355687,25.3165,0.0,0.0,1065.0370429921888,6.074773078
rf57,,,,,,,25.9235,0.0,0.0,,
rf58,,,,,,,26.2315,0.0,0.0,,
rf59,,,,,,,26.8385,0.0,0.0,,
rf60,,,,,,,27.1465,0.0,0.0,,
rf61,,,,,,,27.7535,0.0,0.0,,
rf62,,,,,,,28.0615,0.0,0.0,,
rf63,,,,,,,28.6685,0.0,0.0,,
rf64,,,,,,,28.9765,0.0,0.0,,
