NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
MIDBETA$START,0.0,0,0,0,0,0.0,0.0,8.0,4.0,0,0,0,0,0.05501503861309197,0.03890150687055709
QM1,0.07475,0,0,0,0,3.721444875,-1.975361011,7.718463602,4.145925781,0,0,0,0,0.054038322501619246,0.03960474215967897
DR1,0.2265,0,0,0,0,6.37361999,-4.552983143,5.890147873,5.281557185,0,0,0,0,0.04720625277701696,0.04470101883843711
RF1,0.3035,0,0,0,0,5.499173507,-5.270604199,4.996960066,6.063476487,0,0,0,0,0.043479983236771505,0.047895783001934214
DR2,0.4575,0,0,0,0,4.545525042,-5.994587555,3.464788371,7.78181655,0,0,0,0,0.03620551964681008,0.05425964185491831
RF2,0.6115,0,0,0,0,3.446806361,-7.35279674,2.244145192,9.811075471,0,0,0,0,0.029138145284091803,0.06092488763338979
DR3,0.6885,0,0,0,0,3.012410643,-7.777565708,1.75528518,10.9562033,0,0,0,0,0.0257697539338533,0.06438229738407919
QM2,0.915,0,0,0,0,1.018455377,3.782816994,0.8270632825,12.84717885,0,0,0,0,0.01768910252079273,0.06971726054167988
DR4,1.1415,0,0,0,0,-0.05569284142,12.32857452,0.6760147048,8.170578103,0,0,0,0,0.01599243153222136,0.055598467568071464
RF3,1.2185,0,0,0,0,-0.2122002535,10.50238286,0.6992814316,6.470317278,0,0,0,0,0.01626531306668255,0.0494765281914946
DR5,1.3725,0,0,0,0,-0.4381728804,7.901329419,0.7976241259,3.687498375,0,0,0,0,0.01737142995303828,0.03735100978067139
RF4,1.5265,0,0,0,0,-0.7242930927,5.194783553,0.9730107388,1.706556636,0,0,0,0,0.019186477352063164,0.025409538752211656
DR6,1.6035,0,0,0,0,-0.8430430408,3.95195375,1.091794522,1.013352389,0,0,0,0,0.0203238922645961,0.01958017984308398
QM3,1.83,0,0,0,0,0.1475259477,0.328838567,1.354312783,0.08125291059,0,0,0,0,0.02263580361761157,0.005544417071819231
DR7,2.0565,0,0,0,0,1.020646895,-2.997530655,0.9829881743,0.6644282108,0,0,0,0,0.01928459733583058,0.015854788774231052
RF5,2.1335,0,0,0,0,0.811991027,-4.209971892,0.8477018772,1.215832575,0,0,0,0,0.01790845009662512,0.02144733404840902
DR8,2.2875,0,0,0,0,0.512840981,-6.563510304,0.6452320017,2.862309702,0,0,0,0,0.015624077270575003,0.03290748863174419
RF6,2.4415,0,0,0,0,0.1818336726,-9.228833024,0.5388975428,5.274144247,0,0,0,0,0.01427872831665896,0.044669637730222096
DR9,2.5185,0,0,0,0,0.03396357773,-10.489123,0.5222517129,6.795117013,0,0,0,0,0.014056473078238936,0.05070314500357931
QM4,2.745,0,0,0,0,-1.013041975,-3.457369612,0.6896320768,10.9023197,0,0,0,0,0.016152701052706244,0.06422378326272753
DR10,2.9715,0,0,0,0,-2.988957963,6.36671385,1.619034469,9.382463459,0,0,0,0,0.024749388675559876,0.05957922771567587
RF7,3.0485,0,0,0,0,-3.585691502,5.533777295,2.135037599,8.499767016,0,0,0,0,0.02842098938354705,0.05670742661188009
DR11,3.2025,0,0,0,0,-4.595501448,4.954932667,3.407915767,6.867871766,0,0,0,0,0.0359071432688583,0.050973859482919076
RF8,3.3565,0,0,0,0,-5.890281053,4.067095536,5.037841865,5.462530217,0,0,0,0,0.04365748306131438,0.04546041068674236
DR12,3.4335,0,0,0,0,-6.444963674,3.815707973,6.003502382,4.845427575,0,0,0,0,0.04765832474729435,0.0428156441128394
QM5,3.66,0,0,0,0,-0.002126923968,-0.3336790976,8.174388598,3.798911739,0,0,0,0,0.05561143072593252,0.03791106898000884
