n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
   0  entry      0.00000       20.00000        0.00000        2.66930        1.88634        7.23477        5.10154        1.72984        4.61571        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05382            15.03330            18.18911          0.00000        0.00000        0.00000        0.00000        0.20833        0.00000        0.00982        0.79083        0.00673        0.39808       -0.00004          20.12218              0.0         10001.0
   1  quad       0.14950       20.00000        0.00000        2.48032        2.02394        6.74314        5.45096        1.72989        4.61250        0.00086           7.50798            12.46476            15.11796             7.44884            12.38070            14.60849             9.05382            15.03324            18.18904          0.00000        0.00000        0.00000       -0.00005        0.20833        0.00000        6.86676        0.68283       -4.22340        0.45827        0.00769          20.12337              0.0         10001.0
   2  drift      0.30350       20.00000        0.00000        2.09694        2.31218        5.72066        6.20009        1.73014        4.61006        0.00086           7.50798            12.46476            15.11796             7.44884            12.38070            14.60849             9.05427            15.03944            18.21859          0.00000        0.00000        0.00000       -0.00005        0.20833        0.01660        5.78077        0.48806       -4.85641        0.59810        0.01557          20.12804              0.0         10001.0
   3  rfgap      0.30350       20.37494       -0.02488        2.09694        2.31218        5.72066        6.20009        6.85899       18.22947        0.00238           7.51381            12.48164            15.24941             7.45544            12.34462            14.70473             9.64414            20.49034            28.87996          0.00000       -0.00151        0.00000       -0.00042        0.21032        0.05835        5.44550        0.49234       -5.25775        0.60328       -2.43063          75.65997              0.0         10001.0
   4  drift      0.61150       20.37494       -0.02488        1.38880        2.93522        3.81036        7.96292        6.58137       17.72930        0.00238           7.51381            12.48164            15.24941             7.45544            12.34462            14.70473             9.62407            20.19625            28.30589         -0.00005       -0.00151       -0.00001       -0.00042        0.21032        0.21858        3.52786        0.21596       -6.72014        0.97220       -2.32091          69.80441              0.0         10001.0
   5  rfgap      0.61150       20.75338       -0.04168        1.38880        2.93522        3.81036        7.96292        6.52319       17.53145        0.00437           7.51830            12.49056            15.29769             7.49888            12.46854            14.87005            10.94523            30.86024            44.37130         -0.00005       -0.00254       -0.00001       -0.00092        0.21231        0.21014        3.38289        0.21786       -7.32070        0.97569       -3.99067          61.42846              0.0         10001.0
   6  drift      0.76550       20.75338       -0.04168        1.06126        3.27470        2.90148        8.91805        6.25738       17.05536        0.00437           7.51830            12.49056            15.29769             7.49888            12.46854            14.87005            10.92155            30.39754            43.76896         -0.00009       -0.00254       -0.00003       -0.00092        0.21231        0.30223        2.50327        0.12722       -8.18237        1.21443       -3.82646          56.64687              0.0         10001.0
   7  quad       1.06450       20.75338       -0.04168        0.74597        2.98154        2.12515        8.16964        5.74228       16.12386        0.00437           7.51926            12.50828            15.30065             7.46888            12.40399            14.81073            10.92576            30.40788            43.78384         -0.00020       -0.00554       -0.00004        0.00038        0.21231        0.35433        0.04479        0.06285       13.80662        1.01077       -3.48746          47.68606              0.0         10001.0
   8  drift      1.21850       20.75338       -0.04168        0.76009        2.35479        2.12882        6.48068        5.48211       15.64665        0.00437           7.51926            12.50828            15.30065             7.46888            12.40399            14.81073            10.92309            30.00356            42.64899         -0.00029       -0.00554       -0.00003        0.00038        0.21231        0.49891       -0.20073        0.06525       10.88708        0.63049       -3.31701          43.47346              0.0         10001.0
   9  rfgap      1.21850       21.13715       -0.04210        0.76009        2.35479        2.12882        6.48068        5.43327       15.47834        0.00598           7.51891            12.50400            15.29541             7.48822            12.47091            14.85516            11.91490            36.80962            56.67378         -0.00029       -0.00649       -0.00003        0.00007        0.21428        0.49019       -0.24308        0.06586       10.45349        0.63471       -4.27369          39.87183              0.0         10001.0
  10  drift      1.52650       21.13715       -0.04210        0.91810        1.16590        2.48887        3.26190        4.72552       14.11754        0.00598           7.51891            12.50400            15.29541             7.48822            12.47091            14.85516            12.15583            35.57011            52.04113         -0.00049       -0.00649       -0.00003        0.00007        0.21428        0.75962       -0.73837        0.09609        5.10228        0.15560       -3.60562          29.56305              0.0         10001.0
  11  rfgap      1.52650       21.52547       -0.03034        0.91810        1.16590        2.48887        3.26190        4.68340       13.97050        0.00732           7.51662            12.47135            15.27416             7.49202            12.45978            14.85961            12.81738            39.38027            62.16302         -0.00049       -0.00754       -0.00003       -0.00010        0.21625        0.74991       -0.79925        0.09700        5.00169        0.15695       -4.26593          28.04221              0.0         10001.0
