[ T-Track ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 345
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      345   1.0000E+00 # 345
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   50.00000      # maximum value of e-mesh points
#    edel =  0.5000000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  5.00000E-01  1.00000E+00  1.50000E+00  2.00000E+00
#           2.50000E+00  3.00000E+00  3.50000E+00  4.00000E+00  4.50000E+00
#           5.00000E+00  5.50000E+00  6.00000E+00  6.50000E+00  7.00000E+00
#           7.50000E+00  8.00000E+00  8.50000E+00  9.00000E+00  9.50000E+00
#           1.00000E+01  1.05000E+01  1.10000E+01  1.15000E+01  1.20000E+01
#           1.25000E+01  1.30000E+01  1.35000E+01  1.40000E+01  1.45000E+01
#           1.50000E+01  1.55000E+01  1.60000E+01  1.65000E+01  1.70000E+01
#           1.75000E+01  1.80000E+01  1.85000E+01  1.90000E+01  1.95000E+01
#           2.00000E+01  2.05000E+01  2.10000E+01  2.15000E+01  2.20000E+01
#           2.25000E+01  2.30000E+01  2.35000E+01  2.40000E+01  2.45000E+01
#           2.50000E+01  2.55000E+01  2.60000E+01  2.65000E+01  2.70000E+01
#           2.75000E+01  2.80000E+01  2.85000E+01  2.90000E+01  2.95000E+01
#           3.00000E+01  3.05000E+01  3.10000E+01  3.15000E+01  3.20000E+01
#           3.25000E+01  3.30000E+01  3.35000E+01  3.40000E+01  3.45000E+01
#           3.50000E+01  3.55000E+01  3.60000E+01  3.65000E+01  3.70000E+01
#           3.75000E+01  3.80000E+01  3.85000E+01  3.90000E+01  3.95000E+01
#           4.00000E+01  4.05000E+01  4.10000E+01  4.15000E+01  4.20000E+01
#           4.25000E+01  4.30000E+01  4.35000E+01  4.40000E+01  4.45000E+01
#           4.50000E+01  4.55000E+01  4.60000E+01  4.65000E+01  4.70000E+01
#           4.75000E+01  4.80000E+01  4.85000E+01  4.90000E+01  4.95000E+01
#           5.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = out/fluence_ph_energy.dat  # file name of output for the above axis
     part =  photon   
# kf/name :  22       
    x-txt = energy [MeV]
    y-txt = track length [photons m/MeV/s]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         109 (  0)           0 (  0)         109 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    345

x: energy [MeV]
y: track length [photons m/MeV/s]
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(photon  ),hh0l   n 
#  e-lower      e-upper      photon      r.err 
   0.0000E+00   5.0000E-01   5.7012E+13  0.0006
   5.0000E-01   1.0000E+00   4.4960E+13  0.0006
   1.0000E+00   1.5000E+00   2.5139E+13  0.0007
   1.5000E+00   2.0000E+00   1.7529E+13  0.0009
   2.0000E+00   2.5000E+00   1.3238E+13  0.0010
   2.5000E+00   3.0000E+00   1.0506E+13  0.0011
   3.0000E+00   3.5000E+00   8.6126E+12  0.0012
   3.5000E+00   4.0000E+00   7.2639E+12  0.0013
   4.0000E+00   4.5000E+00   6.2181E+12  0.0014
   4.5000E+00   5.0000E+00   5.4191E+12  0.0015
   5.0000E+00   5.5000E+00   4.7515E+12  0.0016
   5.5000E+00   6.0000E+00   4.2328E+12  0.0017
   6.0000E+00   6.5000E+00   3.7938E+12  0.0018
   6.5000E+00   7.0000E+00   3.4221E+12  0.0019
   7.0000E+00   7.5000E+00   3.1095E+12  0.0020
   7.5000E+00   8.0000E+00   2.8351E+12  0.0021
   8.0000E+00   8.5000E+00   2.5973E+12  0.0022
   8.5000E+00   9.0000E+00   2.3777E+12  0.0022
   9.0000E+00   9.5000E+00   2.2077E+12  0.0023
   9.5000E+00   1.0000E+01   2.0335E+12  0.0024
   1.0000E+01   1.0500E+01   1.8913E+12  0.0025
   1.0500E+01   1.1000E+01   1.7729E+12  0.0026
   1.1000E+01   1.1500E+01   1.6472E+12  0.0027
   1.1500E+01   1.2000E+01   1.5408E+12  0.0028
   1.2000E+01   1.2500E+01   1.4388E+12  0.0029
   1.2500E+01   1.3000E+01   1.3555E+12  0.0030
   1.3000E+01   1.3500E+01   1.2768E+12  0.0031
   1.3500E+01   1.4000E+01   1.2004E+12  0.0031
   1.4000E+01   1.4500E+01   1.1284E+12  0.0032
   1.4500E+01   1.5000E+01   1.0716E+12  0.0033
   1.5000E+01   1.5500E+01   1.0151E+12  0.0034
   1.5500E+01   1.6000E+01   9.5953E+11  0.0035
   1.6000E+01   1.6500E+01   9.1509E+11  0.0036
   1.6500E+01   1.7000E+01   8.6721E+11  0.0037
   1.7000E+01   1.7500E+01   8.2011E+11  0.0038
   1.7500E+01   1.8000E+01   7.7497E+11  0.0039
   1.8000E+01   1.8500E+01   7.3700E+11  0.0040
   1.8500E+01   1.9000E+01   7.0567E+11  0.0041
   1.9000E+01   1.9500E+01   6.6859E+11  0.0042
   1.9500E+01   2.0000E+01   6.4035E+11  0.0043
   2.0000E+01   2.0500E+01   6.1009E+11  0.0044
   2.0500E+01   2.1000E+01   5.8056E+11  0.0045
   2.1000E+01   2.1500E+01   5.5167E+11  0.0046
   2.1500E+01   2.2000E+01   5.2580E+11  0.0047
   2.2000E+01   2.2500E+01   4.9822E+11  0.0049
   2.2500E+01   2.3000E+01   4.7489E+11  0.0050
   2.3000E+01   2.3500E+01   4.5948E+11  0.0051
   2.3500E+01   2.4000E+01   4.2981E+11  0.0053
   2.4000E+01   2.4500E+01   4.1435E+11  0.0054
   2.4500E+01   2.5000E+01   3.9311E+11  0.0055
   2.5000E+01   2.5500E+01   3.7267E+11  0.0056
   2.5500E+01   2.6000E+01   3.5561E+11  0.0058
   2.6000E+01   2.6500E+01   3.3848E+11  0.0059
   2.6500E+01   2.7000E+01   3.1701E+11  0.0061
   2.7000E+01   2.7500E+01   3.0309E+11  0.0063
   2.7500E+01   2.8000E+01   2.8823E+11  0.0064
   2.8000E+01   2.8500E+01   2.7195E+11  0.0066
   2.8500E+01   2.9000E+01   2.5991E+11  0.0068
   2.9000E+01   2.9500E+01   2.4440E+11  0.0070
   2.9500E+01   3.0000E+01   2.2954E+11  0.0072
   3.0000E+01   3.0500E+01   2.1437E+11  0.0074
   3.0500E+01   3.1000E+01   2.0154E+11  0.0077
   3.1000E+01   3.1500E+01   1.8931E+11  0.0079
   3.1500E+01   3.2000E+01   1.7541E+11  0.0082
   3.2000E+01   3.2500E+01   1.6324E+11  0.0085
   3.2500E+01   3.3000E+01   1.4616E+11  0.0090
   3.3000E+01   3.3500E+01   1.3821E+11  0.0092
   3.3500E+01   3.4000E+01   1.2241E+11  0.0098
   3.4000E+01   3.4500E+01   1.1265E+11  0.0102
   3.4500E+01   3.5000E+01   1.0029E+11  0.0108
   3.5000E+01   3.5500E+01   8.6395E+10  0.0117
   3.5500E+01   3.6000E+01   7.6013E+10  0.0124
   3.6000E+01   3.6500E+01   6.5227E+10  0.0134
   3.6500E+01   3.7000E+01   5.4151E+10  0.0147
   3.7000E+01   3.7500E+01   4.2496E+10  0.0166
   3.7500E+01   3.8000E+01   3.0021E+10  0.0198
   3.8000E+01   3.8500E+01   2.0712E+10  0.0238
   3.8500E+01   3.9000E+01   1.1171E+10  0.0324
   3.9000E+01   3.9500E+01   4.4867E+09  0.0510
   3.9500E+01   4.0000E+01   9.0432E+08  0.1137
   4.0000E+01   4.0500E+01   0.0000E+00  0.0000
   4.0500E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.1500E+01   0.0000E+00  0.0000
   4.1500E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.2500E+01   0.0000E+00  0.0000
   4.2500E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.3500E+01   0.0000E+00  0.0000
   4.3500E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.4500E+01   0.0000E+00  0.0000
   4.4500E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 2.5956E+12

'no. =  1,  reg  =    345'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.76224005096225168E-08 # Total source weight or Total source weight / maxcas
# resc3  = 1.10002500000000000E+07 # Total history number or Total batch number
# maxcas =       14667 # History / Batch, only used for istdev=1
# bitrseed = 0111010011101011010101101110111010111111010111001010101101111111 # bit data of rseed
