 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1      -0.11982E-12      -0.20683E-12       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1       0.25022E-01      -0.47357E+00      -0.46008E+00      -0.75654E+01      -0.29889E+00       0.21044E+02
      0      1       0.22541E-01      -0.26501E+00       0.24159E+00      -0.11246E+01      -0.45065E+00       0.17982E+02
      0      1       0.35283E-02       0.40539E+00       0.33191E+00      -0.13102E+02       0.12015E+00      -0.28334E+02
      0      1       0.16722E-01       0.99376E-01      -0.49419E+00      -0.67908E+01      -0.20857E+00       0.20285E+02
      0      1       0.43818E-01      -0.22886E-01       0.18302E+00      -0.70484E+01       0.48596E+00      -0.51388E+02
      0      1       0.21787E-01      -0.10742E+00      -0.79267E+00       0.47737E+00       0.17055E+00      -0.21786E+02
      0      1       0.23091E-01      -0.43275E+00       0.31640E+00      -0.17307E+01       0.32115E+00      -0.55621E+01
      0      1       0.33656E-01      -0.12002E+00      -0.69655E+00       0.31766E+01       0.34792E+00      -0.34889E+02
      0      1      -0.15519E-02       0.38518E+00      -0.92084E+00       0.32883E+01      -0.19080E+00       0.24878E+02
      0      1       0.35598E-01      -0.22249E+00       0.13836E+01      -0.10868E+01      -0.35126E-01       0.12590E+02
      0      1      -0.15398E-01       0.26544E+00       0.45862E+00      -0.92028E+01       0.16915E+00       0.16618E+01
      0      1       0.27893E-01      -0.51753E+00      -0.63077E+00      -0.30693E+01      -0.13378E+00       0.12035E+02
      0      1      -0.11988E-01      -0.17639E-01       0.16822E+00      -0.94245E-01       0.20474E+00       0.13027E+02
      0      1       0.32687E-02       0.35195E+00       0.22998E+00      -0.12615E+01      -0.37719E+00       0.49045E+02
      0      1       0.36049E-01       0.64638E+00       0.24073E+00      -0.58688E+01       0.48099E-01       0.36838E+02
      0      1      -0.24242E-01       0.24748E+00       0.52401E+00       0.79325E+00       0.18781E+00       0.19958E+02
      0      1       0.14666E-01      -0.19552E+00      -0.68462E+00      -0.89507E+00       0.12461E-01       0.28686E+02
      0      1       0.21456E-01       0.11891E+00       0.34302E+00       0.14313E+01       0.46095E+00      -0.43977E+02
      0      1      -0.25029E-01       0.21733E+00      -0.63100E+00       0.27829E+01       0.30902E+00       0.84019E+01
      0      1      -0.22171E-01       0.32320E+00       0.10846E+00       0.77421E+01       0.13710E-01      -0.94887E+01
      0      1      -0.26679E-01       0.28855E+00       0.20510E+00      -0.20935E+01      -0.12322E+00       0.21623E+02
      0      1       0.37856E-01      -0.20697E+00       0.11985E+00       0.52658E+01      -0.80347E-01       0.14312E+02
      0      1       0.31363E-01       0.64904E-01      -0.68869E-01      -0.79343E-01      -0.34694E+00       0.49333E+02
      0      1       0.18254E-01      -0.55096E-02      -0.62461E+00      -0.57920E+01       0.32814E+00      -0.38329E+02
      0      1       0.25354E-01       0.14329E+00       0.49867E+00      -0.47728E+01       0.32718E+00      -0.40317E+02
      0      1      -0.12709E-01       0.24091E+00      -0.15983E+00      -0.55295E+01       0.32522E+00      -0.31289E+02
      0      1       0.20319E-01       0.10052E+00      -0.15725E+01      -0.25976E+01       0.28137E+00      -0.39189E+02
      0      1       0.47899E-01      -0.22754E+00       0.28042E-01       0.47241E+01       0.21960E-01      -0.35331E+02
      0      1      -0.35314E-02       0.35130E+00      -0.71549E-01      -0.71609E+01       0.92697E-01      -0.59483E+01
      0      1       0.13295E-01       0.56889E+00       0.26147E+00      -0.80220E+01      -0.17838E+00       0.25414E+02
      0      1      -0.49172E-02       0.23220E+00       0.79095E+00      -0.60692E+00      -0.11110E+00       0.25908E+02
      0      1       0.15258E-01       0.22111E+00      -0.91733E+00      -0.35967E+00      -0.11206E-01       0.48442E+02
      0      1      -0.97629E-02       0.22039E+00      -0.68386E+00       0.10049E+02       0.10007E+00      -0.15066E+02
      0      1       0.14511E-01      -0.15395E+00       0.10563E+01       0.11913E+01      -0.12488E+00       0.28841E+01
      0      1       0.23151E-01       0.37571E-01      -0.33714E+00      -0.53947E+01      -0.90078E-02       0.29658E+02
      0      1      -0.18957E-01       0.38828E+00       0.32730E+00      -0.53402E+01      -0.25875E+00       0.26496E+02
      0      1       0.12084E-01       0.41475E+00      -0.33636E-01       0.94419E+01       0.36108E+00      -0.46128E+02
      0      1       0.80152E-02       0.19023E+00      -0.28879E-01       0.34588E+01       0.54792E-01       0.16859E+02
      0      1      -0.65017E-02       0.23044E+00      -0.53808E+00       0.14681E+02       0.11740E+00       0.52892E+01
      0      1       0.38856E-01      -0.34892E+00       0.71425E+00      -0.94788E+00      -0.32413E+00       0.43876E+02
      0      1       0.24898E-01      -0.16149E+00      -0.12256E+01       0.74696E+01      -0.92762E-01       0.21120E+02
      0      1      -0.81383E-02       0.11008E+00      -0.35357E-02      -0.44203E+01      -0.91893E-01       0.11726E+02
      0      1       0.23598E-01      -0.11558E+00       0.15239E+00      -0.81960E+01      -0.14550E+00       0.21150E+02
      0      1       0.25981E-01       0.51425E+00      -0.12749E+00       0.34683E+01       0.29830E+00      -0.45783E+02
      0      1       0.23034E-01      -0.25762E-01      -0.45462E+00       0.77026E+01       0.22545E-01       0.24924E+02
      0      1       0.40293E-02       0.34759E+00      -0.15996E+00      -0.10406E+01       0.33287E+00      -0.25562E+02
      0      1       0.23583E-01      -0.34731E+00       0.16054E+01      -0.81196E-01       0.13310E-02      -0.55697E+01
      0      1       0.26240E-01      -0.13823E+00       0.10630E+01      -0.20136E+01      -0.19172E+00       0.11137E+02
      0      1      -0.79478E-02       0.30726E-01      -0.33278E+00      -0.21401E+01      -0.35269E+00       0.26184E+02
      0      1      -0.97985E-02       0.41473E-01      -0.62079E+00       0.80068E+01      -0.41374E-01       0.16349E+02
      0      1      -0.12832E-01       0.25951E+00      -0.12269E+01      -0.64348E+00      -0.13923E+00       0.82068E+01
      0      1       0.22334E-01      -0.53786E+00       0.52771E+00       0.66505E+01       0.10602E+00      -0.80030E-01
      0      1      -0.13837E-01       0.42669E+00       0.18425E-01       0.24720E+01      -0.30199E+00      -0.20617E+01
      0      1      -0.26834E-01       0.14267E+00       0.43024E+00       0.25958E+01      -0.11384E+00       0.13897E+02
      0      1       0.56716E-02       0.43848E+00       0.16222E+00       0.12569E+01      -0.88824E-01      -0.41446E+02
      0      1      -0.11998E-01       0.22965E+00      -0.10089E-02       0.82277E+00      -0.15256E+00       0.69318E+01
      0      1       0.19302E-01      -0.13567E+00      -0.79566E-01      -0.12964E+01       0.34028E+00      -0.22381E+02
      0      1       0.16018E-01       0.32130E-01      -0.28955E+00      -0.45426E+01       0.97339E-01       0.27053E+02
      0      1      -0.62988E-02       0.80186E-01       0.49166E+00      -0.10895E+02       0.24611E+00      -0.14103E+02
      0      1       0.15891E-01      -0.20585E+00      -0.51224E+00       0.17694E+01       0.96879E-01       0.18791E+01
      0      1      -0.46427E-02       0.43926E+00      -0.69511E+00      -0.77749E+01      -0.15032E-01      -0.16593E+01
      0      1       0.46341E-01       0.62819E+00      -0.78574E+00      -0.53535E+01       0.11271E-01       0.12419E+02
      0      1       0.63359E-02       0.34632E-01      -0.14256E+01       0.53594E+01      -0.87608E-01       0.16515E+02
      0      1       0.20134E-01      -0.96286E-01       0.17214E+01      -0.23699E+01       0.17403E+00       0.28061E-01
      0      1      -0.94385E-02       0.43315E-01      -0.10789E+00       0.24866E+01      -0.44100E+00       0.51268E+01
      0      1       0.33356E-01       0.10195E+00       0.35779E+00       0.80193E+01      -0.31616E+00       0.53063E+02
      0      1       0.11623E-01       0.26444E+00       0.61414E+00      -0.63424E+01       0.39589E+00      -0.46338E+02
      0      1      -0.66992E-02       0.21171E+00      -0.42422E+00       0.26484E+01      -0.12292E+00       0.20640E+01
      0      1       0.39053E-01      -0.73884E-01       0.59025E+00       0.35177E+01       0.50441E-01       0.38822E+02
      0      1       0.29015E-01      -0.35489E+00      -0.13116E+01      -0.61709E+01       0.63800E-01       0.21379E+02
      0      1      -0.28551E-01      -0.68856E+00      -0.51379E+00       0.43676E+01      -0.53475E-01       0.20257E+02
      0      1      -0.22669E-02       0.17413E+00       0.33930E+00      -0.59045E+01      -0.19192E+00      -0.16183E+02
      0      1       0.31300E-01       0.12537E+00       0.93100E+00      -0.26712E+01      -0.25290E+00       0.47572E+02
      0      1       0.34436E-01      -0.32350E+00       0.10838E+01      -0.34247E+01       0.21282E+00      -0.37611E+02
      0      1       0.49563E-02       0.15298E+00      -0.12197E+01       0.11737E+01       0.98469E-01      -0.17446E+02
      0      1      -0.53161E-02       0.28206E+00       0.17038E+00      -0.44263E+01       0.44485E+00      -0.35574E+02
      0      1       0.64985E-02       0.48349E-01       0.44532E+00       0.10442E+01      -0.24961E+00      -0.23513E+02
      0      1       0.89137E-02       0.44396E+00       0.41591E+00      -0.13925E+00       0.49002E-01      -0.13823E+02
      0      1       0.23120E-01      -0.26185E+00       0.66843E+00       0.63834E+00       0.21579E+00      -0.26986E+02
      0      1       0.11550E-01       0.23287E-01       0.41579E+00      -0.63079E+01       0.27617E+00       0.23811E+02
      0      1       0.40803E-01      -0.15207E+00       0.17191E+00       0.51723E+01      -0.16010E+00       0.51023E+02
      0      1      -0.25156E-01       0.30565E+00       0.32765E+00       0.16171E+00      -0.95179E-01       0.27860E+02
      0      1       0.37299E-01      -0.35974E-01      -0.81843E-01      -0.97017E+01      -0.24577E+00       0.33113E+02
      0      1       0.71428E-02       0.81914E-01       0.15180E+01      -0.16307E+01       0.17159E+00      -0.25723E+02
      0      1       0.36124E-01      -0.31022E+00       0.74830E-01      -0.30867E+01       0.14535E+00      -0.27305E+02
      0      1       0.24991E-01       0.11166E+00       0.58232E+00      -0.19527E+01      -0.17348E+00       0.45245E+02
      0      1       0.24265E-01      -0.19767E+00       0.16719E+00       0.26672E+01       0.23660E+00      -0.23466E+02
      0      1      -0.15565E-02       0.26954E+00       0.13926E+01      -0.24498E+01       0.22425E+00      -0.31363E+02
