al ah    el           eh      n[count/sr/MeV] r.err.
0 10    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
0 10    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
0 10    1.0000E-08   1.0000E-07   6.6605E+13  0.8204
0 10    1.0000E-07   1.0000E-06   4.2788E+13  0.3693
0 10    1.0000E-06   1.0000E-05   6.4180E+12  0.2864
0 10    1.0000E-05   1.0000E-04   2.8650E+12  0.1446
0 10    1.0000E-04   1.0000E-03   8.9584E+11  0.0825
0 10    1.0000E-03   1.0000E-02   3.0023E+11  0.0459
0 10    1.0000E-02   1.0000E-01   9.6920E+10  0.0259
0 10    1.0000E-01   1.0000E+00   5.7690E+10  0.0107
0 10    1.0000E+00   1.0000E+01   3.4613E+09  0.0138
0 10    1.0000E+01   1.0000E+02   9.2178E+05  0.2673
10 20    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
10 20    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
10 20    1.0000E-08   1.0000E-07   8.7705E+13  0.4461
10 20    1.0000E-07   1.0000E-06   1.8768E+13  0.3044
10 20    1.0000E-06   1.0000E-05   7.5997E+12  0.1585
10 20    1.0000E-05   1.0000E-04   2.6233E+12  0.0865
10 20    1.0000E-04   1.0000E-03   9.2036E+11  0.0470
10 20    1.0000E-03   1.0000E-02   2.8141E+11  0.0275
10 20    1.0000E-02   1.0000E-01   1.0205E+11  0.0147
10 20    1.0000E-01   1.0000E+00   5.7420E+10  0.0062
10 20    1.0000E+00   1.0000E+01   3.5515E+09  0.0079
10 20    1.0000E+01   1.0000E+02   1.2656E+06  0.1325
20 30    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
20 30    1.0000E-09   1.0000E-08   4.8035E+13  1.0000
20 30    1.0000E-08   1.0000E-07   8.6533E+13  0.3696
20 30    1.0000E-07   1.0000E-06   3.5734E+13  0.1820
20 30    1.0000E-06   1.0000E-05   7.7935E+12  0.1253
20 30    1.0000E-05   1.0000E-04   2.8571E+12  0.0654
20 30    1.0000E-04   1.0000E-03   8.4335E+11  0.0385
20 30    1.0000E-03   1.0000E-02   2.7602E+11  0.0217
20 30    1.0000E-02   1.0000E-01   1.0045E+11  0.0116
20 30    1.0000E-01   1.0000E+00   5.8006E+10  0.0049
20 30    1.0000E+00   1.0000E+01   3.5355E+09  0.0062
20 30    1.0000E+01   1.0000E+02   9.8797E+05  0.1171
30 40    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
30 40    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
30 40    1.0000E-08   1.0000E-07   6.7812E+13  0.3508
30 40    1.0000E-07   1.0000E-06   2.6127E+13  0.1729
30 40    1.0000E-06   1.0000E-05   7.1019E+12  0.1123
30 40    1.0000E-05   1.0000E-04   2.2812E+12  0.0627
30 40    1.0000E-04   1.0000E-03   7.8556E+11  0.0341
30 40    1.0000E-03   1.0000E-02   2.6147E+11  0.0191
30 40    1.0000E-02   1.0000E-01   9.5714E+10  0.0102
30 40    1.0000E-01   1.0000E+00   5.8202E+10  0.0042
30 40    1.0000E+00   1.0000E+01   3.5300E+09  0.0053
40 50    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
40 50    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
40 50    1.0000E-08   1.0000E-07   8.2916E+13  0.2911
40 50    1.0000E-07   1.0000E-06   2.0623E+13  0.1800
40 50    1.0000E-06   1.0000E-05   6.3741E+12  0.1054
40 50    1.0000E-05   1.0000E-04   2.4951E+12  0.0541
40 50    1.0000E-04   1.0000E-03   7.3770E+11  0.0317
40 50    1.0000E-03   1.0000E-02   2.4608E+11  0.0178
40 50    1.0000E-02   1.0000E-01   8.8581E+10  0.0095
40 50    1.0000E-01   1.0000E+00   5.7433E+10  0.0038
40 50    1.0000E+00   1.0000E+01   3.4769E+09  0.0049
40 50    1.0000E+01   1.0000E+02   1.1443E+06  0.0842
50 60    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
50 60    1.0000E-09   1.0000E-08   3.7621E+13  1.0000
50 60    1.0000E-08   1.0000E-07   8.5709E+13  0.2680
50 60    1.0000E-07   1.0000E-06   2.2737E+13  0.1581
50 60    1.0000E-06   1.0000E-05   5.1368E+12  0.1090
50 60    1.0000E-05   1.0000E-04   1.8248E+12  0.0586
50 60    1.0000E-04   1.0000E-03   6.3713E+11  0.0317
50 60    1.0000E-03   1.0000E-02   2.1202E+11  0.0178
50 60    1.0000E-02   1.0000E-01   8.0936E+10  0.0093
50 60    1.0000E-01   1.0000E+00   5.4602E+10  0.0036
50 60    1.0000E+00   1.0000E+01   3.4115E+09  0.0046
50 60    1.0000E+01   1.0000E+02   9.5287E+05  0.0858
60 70    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
60 70    1.0000E-09   1.0000E-08   6.3030E+13  1.0000
60 70    1.0000E-08   1.0000E-07   5.2429E+13  0.2968
60 70    1.0000E-07   1.0000E-06   1.6395E+13  0.1796
60 70    1.0000E-06   1.0000E-05   4.6061E+12  0.1097
60 70    1.0000E-05   1.0000E-04   1.4902E+12  0.0618
60 70    1.0000E-04   1.0000E-03   4.9936E+11  0.0339
60 70    1.0000E-03   1.0000E-02   1.5627E+11  0.0197
60 70    1.0000E-02   1.0000E-01   6.4638E+10  0.0099
60 70    1.0000E-01   1.0000E+00   4.9228E+10  0.0036
60 70    1.0000E+00   1.0000E+01   3.2157E+09  0.0045
60 70    1.0000E+01   1.0000E+02   9.9991E+05  0.0796
70 80    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
70 80    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
70 80    1.0000E-08   1.0000E-07   2.9814E+13  0.3915
70 80    1.0000E-07   1.0000E-06   1.1384E+13  0.2115
70 80    1.0000E-06   1.0000E-05   3.2247E+12  0.1307
70 80    1.0000E-05   1.0000E-04   9.0384E+11  0.0767
70 80    1.0000E-04   1.0000E-03   3.1823E+11  0.0416
70 80    1.0000E-03   1.0000E-02   9.5977E+10  0.0244
70 80    1.0000E-02   1.0000E-01   4.1573E+10  0.0119
70 80    1.0000E-01   1.0000E+00   3.6703E+10  0.0041
70 80    1.0000E+00   1.0000E+01   2.6858E+09  0.0047
70 80    1.0000E+01   1.0000E+02   8.9771E+05  0.0814
80 90    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
80 90    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
80 90    1.0000E-08   1.0000E-07   4.7585E+12  1.0000
80 90    1.0000E-07   1.0000E-06   3.6630E+12  0.3810
80 90    1.0000E-06   1.0000E-05   4.5748E+11  0.3427
80 90    1.0000E-05   1.0000E-04   2.4306E+11  0.1467
80 90    1.0000E-04   1.0000E-03   8.3955E+10  0.0797
80 90    1.0000E-03   1.0000E-02   2.4855E+10  0.0473
80 90    1.0000E-02   1.0000E-01   1.0353E+10  0.0235
80 90    1.0000E-01   1.0000E+00   1.0081E+10  0.0076
80 90    1.0000E+00   1.0000E+01   8.6550E+08  0.0082
80 90    1.0000E+01   1.0000E+02   2.3001E+05  0.1581
