NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
MIDBETA$START,0.0,0,0,0,0,0.0,0.0,8.0,4.0,0,0,0,0,0.05501503861309197,0.03890150687055709
QM1,0.07475,0,0,0,0,3.721444875,-1.975361011,7.718463602,4.145925781,0,0,0,0,0.054038322501619246,0.03960474215967897
DR1,0.2265,0,0,0,0,6.37361999,-4.552983143,5.890147873,5.281557185,0,0,0,0,0.04720625277701696,0.04470101883843711
PS1,0.3035,0,0,0,0,5.829495545,-4.869780522,4.950507977,6.007109988,0,0,0,0,0.043277414888108115,0.047672641942978475
RF1,0.3035,0,0,0,0,5.499173507,-5.270604199,4.996960066,6.063476487,0,0,0,0,0.043479983236771505,0.047895783001934214
PS2,0.3035,0,0,0,0,5.499173507,-5.270604199,4.996960066,6.063476487,0,0,0,0,0.043479983236771505,0.047895783001934214
DR2,0.4575,0,0,0,0,4.545525042,-5.994587555,3.464788371,7.78181655,0,0,0,0,0.03620551964681008,0.05425964185491831
PS3,0.6115,0,0,0,0,3.591876578,-6.718570911,2.223546898,9.721022734,0,0,0,0,0.029004112135374665,0.060644638000639024
RF2,0.6115,0,0,0,0,3.446806361,-7.35279674,2.244145192,9.811075471,0,0,0,0,0.029138145284091803,0.06092488763338979
PS4,0.6115,0,0,0,0,3.446806361,-7.35279674,2.244145192,9.811075471,0,0,0,0,0.029138145284091803,0.06092488763338979
DR3,0.6885,0,0,0,0,3.012410644,-7.777565707,1.75528518,10.9562033,0,0,0,0,0.0257697539338533,0.06438229738407919
QM2,0.915,0,0,0,0,1.018455378,3.782816991,0.8270632845,12.84717885,0,0,0,0,0.017689102542180576,0.06971726054167988
DR4,1.1415,0,0,0,0,-0.0556928405,12.32857452,0.6760147068,8.170578108,0,0,0,0,0.015992431555878286,0.05559846758508326
PS5,1.2185,0,0,0,0,-0.1679963833,10.9113928,0.6929444238,6.411682149,0,0,0,0,0.01619144581349379,0.04925183557438762
RF3,1.2185,0,0,0,0,-0.2122002522,10.50238286,0.6992814333,6.470317285,0,0,0,0,0.01626531308645358,0.04947652821825802
PS6,1.2185,0,0,0,0,-0.2122002522,10.50238286,0.6992814333,6.470317285,0,0,0,0,0.01626531308645358,0.04947652821825802
DR5,1.3725,0,0,0,0,-0.4381728761,7.901329449,0.7976241259,3.687498405,0,0,0,0,0.01737142995303828,0.03735100993260777
PS7,1.5265,0,0,0,0,-0.6641455001,5.300276034,0.9643053007,1.691288272,0,0,0,0,0.019100454681367694,0.025295615268747698
RF4,1.5265,0,0,0,0,-0.7242930853,5.194783608,0.9730107354,1.706556673,0,0,0,0,0.019186477318541423,0.025409539027664844
PS8,1.5265,0,0,0,0,-0.7242930853,5.194783608,0.9730107354,1.706556673,0,0,0,0,0.019186477318541423,0.025409539027664844
DR6,1.6035,0,0,0,0,-0.8430430308,3.95195383,1.091794515,1.013352429,0,0,0,0,0.02032389219944316,0.019580180229527625
QM3,1.83,0,0,0,0,0.1475259489,0.3288387094,1.354312767,0.08125291892,0,0,0,0,0.02263580348390063,0.0055444173560243925
DR7,2.0565,0,0,0,0,1.020646889,-2.997530328,0.982988168,0.6644281071,0,0,0,0,0.019284597274032807,0.015854787536970477
PS9,2.1335,0,0,0,0,0.8632330506,-4.136476642,0.8402144656,1.205093447,0,0,0,0,0.017829185592349955,0.02135240464347223
RF5,2.1335,0,0,0,0,0.8119910237,-4.209971486,0.8477018744,1.215832405,0,0,0,0,0.017908450067048883,0.02144733254900565
PS10,2.1335,0,0,0,0,0.8119910237,-4.209971486,0.8477018744,1.215832405,0,0,0,0,0.017908450067048883,0.02144733254900565
