n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
   0  entry      0.00000       20.00000        0.00000        2.66930        1.88634        7.23477        5.10154        1.72984        4.61571        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05382            15.03330            18.18911          0.00000        0.00000        0.00000        0.00000        0.20833        0.00000        0.00982        0.79083        0.00673        0.39808       -0.00004          20.12218              0.0         10001.0
   1  drift      0.30000       20.00000        0.00000        2.67022        1.89074        7.27713        5.08495        1.73007        4.60945        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05392            15.03479            18.19092          0.00000        0.00000        0.00000        0.00000        0.20833        0.00111       -0.02812        0.79138       -0.06863        0.39994        0.01548          20.12720              0.0         10001.0
   2  rfgap      0.30000       20.34846       -0.02502        2.67022        1.89074        7.27713        5.08495        6.86303       18.24151        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56527            19.79818            27.86513          0.00000       -0.00206        0.00000       -0.00024        0.21019       -0.00255       -0.52820        0.79686       -0.32159        0.40339       -2.28391          76.27453              0.0         10001.0
   3  drift      0.38000       20.34846       -0.02502        2.68452        1.90317        7.32379        5.14738        6.79519       18.11866        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56506            19.79513            27.86084         -0.00002       -0.00206        0.00000       -0.00024        0.21019        0.00715       -0.54104        0.80542       -0.34347        0.40871       -2.25704          74.77565              0.0         10001.0
   4  drift      0.46000       20.34846       -0.02502        2.69908        1.91632        7.37045        5.20982        6.72748       17.99580        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56486            19.79208            27.85655         -0.00003       -0.00206        0.00000       -0.00024        0.21019        0.01685       -0.55388        0.81418       -0.36535        0.41438       -2.23017          73.29448              0.0         10001.0
   5  drift      0.54000       20.34846       -0.02502        2.71389        1.93020        7.41711        5.27225        6.65991       17.87294        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56466            19.78902            27.85225         -0.00005       -0.00206       -0.00001       -0.00024        0.21019        0.02655       -0.56672        0.82314       -0.38723        0.42040       -2.20329          71.83104              0.0         10001.0
   6  drift      0.62000       20.34846       -0.02502        2.72897        1.94477        7.46377        5.33469        6.59248       17.75008        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56447            19.78597            27.84795         -0.00007       -0.00206       -0.00001       -0.00024        0.21019        0.03625       -0.57956        0.83231       -0.40912        0.42678       -2.17641          70.38531              0.0         10001.0
   7  drift      0.70000       20.34846       -0.02502        2.74430        1.96002        7.51043        5.39712        6.52520       17.62723        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56427            19.78291            27.84364         -0.00008       -0.00206       -0.00001       -0.00024        0.21019        0.04595       -0.59240        0.84169       -0.43100        0.43350       -2.14953          68.95730              0.0         10001.0
   8  rfgap      0.70000       20.69773       -0.04529        2.74430        1.96002        7.51043        5.39712        6.47186       17.44482        0.00407           7.55999            12.64596            15.58344             7.45825            12.38340            14.71586            10.69556            29.01296            42.57221         -0.00008       -0.00422       -0.00001       -0.00050        0.21202        0.03962       -1.10672        0.84486       -0.69773        0.43685       -3.74580          61.71323              0.0         10001.0
   9  drift      0.78000       20.69773       -0.04529        2.77318        1.98539        7.59236        5.48607        6.34312       17.21310        0.00407           7.55999            12.64596            15.58344             7.45825            12.38340            14.71586            10.69558            29.00817            42.56518         -0.00012       -0.00422       -0.00001       -0.00050        0.21202        0.05666       -1.12779        0.86274       -0.72495        0.44823       -3.66592          59.28233              0.0         10001.0
  10  drift      0.86000       20.69773       -0.04529        2.80230        2.01139        7.67429        5.57501        6.21457       16.98139        0.00407           7.55999            12.64596            15.58344             7.45825            12.38340            14.71586            10.69560            29.00337            42.55814         -0.00015       -0.00422       -0.00002       -0.00050        0.21202        0.07370       -1.14886        0.88095       -0.75218        0.46004       -3.58603          56.90379              0.0         10001.0
  11  drift      0.94000       20.69773       -0.04529        2.83165        2.03800        7.75622        5.66395        6.08623       16.74967        0.00407           7.55999            12.64596            15.58344             7.45825            12.38340            14.71586            10.69562            29.04110            42.55107         -0.00018       -0.00422       -0.00002       -0.00050        0.21202        0.09073       -1.16992        0.89950       -0.77941        0.47230       -3.50614          54.57763              0.0         10001.0
  12  drift      1.02000       20.69773       -0.04529        2.86122        2.06519        7.83815        5.75290        5.95811       16.51796        0.00407           7.55999            12.64596            15.58344             7.45825            12.38340            14.71586            10.69566            29.03627            42.54398         -0.00022       -0.00422       -0.00003       -0.00050        0.21202        0.10777       -1.19099        0.91839       -0.80664        0.48499       -3.42624          52.30385              0.0         10001.0
