 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1       0.24800E+00      -0.25391E-01       0.15701E+01       0.21704E+01      -0.98493E+01      -0.18235E+02
      0      1      -0.13135E-02      -0.34006E-01       0.14976E+01       0.30722E+01       0.75530E+01       0.16189E+02
      0      1      -0.99985E-01      -0.10272E-01       0.27889E+01       0.60645E+01       0.59930E+01       0.13476E+02
      0      1       0.91755E-01      -0.46413E-01      -0.37558E+01      -0.77936E+01      -0.42149E+01      -0.73380E+01
      0      1      -0.11128E+00      -0.14495E-01       0.51018E+01       0.10276E+02      -0.86211E+01      -0.17384E+02
      0      1       0.12520E+00       0.15804E-01      -0.86403E+01      -0.15651E+02      -0.66634E+01      -0.12519E+02
      0      1       0.15173E+00       0.47441E-02      -0.82930E+01      -0.15008E+02       0.78364E+01       0.13830E+02
      0      1      -0.69910E-01       0.25068E-01       0.71145E+01       0.14621E+02      -0.84237E+01      -0.16457E+02
      0      1      -0.38412E-01       0.10746E-01      -0.67575E+01      -0.14011E+02      -0.30128E+01      -0.42086E+01
      0      1       0.72749E-01      -0.11276E-01       0.59400E+01       0.12260E+02      -0.62191E+01      -0.12434E+02
      0      1       0.24412E-01       0.24144E-01       0.65316E+01       0.11876E+02      -0.43282E+01      -0.75269E+01
      0      1      -0.49204E-01       0.55183E-01      -0.59372E+01      -0.11297E+02      -0.22076E+00       0.26174E+00
      0      1      -0.37102E-01       0.51741E-02       0.74993E+01       0.14426E+02      -0.58983E+01      -0.11744E+02
      0      1      -0.91097E-01       0.29349E-01      -0.83060E+01      -0.17494E+02      -0.76536E+01      -0.15666E+02
      0      1       0.25409E+00      -0.34325E-01      -0.94578E+01      -0.16254E+02       0.46833E+01       0.89196E+01
      0      1      -0.66637E-01      -0.32490E-01      -0.10356E+01      -0.15507E+01      -0.71565E+01      -0.14496E+02
      0      1      -0.13737E+00       0.40512E-01      -0.71663E+00      -0.11934E+01       0.54450E+00      -0.59794E+00
      0      1      -0.84366E-01       0.27622E-01      -0.13833E+01      -0.26758E+01      -0.80766E+01      -0.16570E+02
      0      1       0.14500E-01       0.14867E-01       0.54977E+01       0.10057E+02       0.74698E+00       0.26596E+01
      0      1       0.91431E-01      -0.19322E-01      -0.71731E+01      -0.13956E+02       0.40068E+01       0.81362E+01
      0      1      -0.15510E+00       0.46088E-01       0.74193E+01       0.13669E+02      -0.37614E+00      -0.86427E+00
      0      1      -0.22431E+00       0.10433E+00       0.30704E+01       0.50478E+01      -0.31562E+01      -0.61473E+01
      0      1      -0.71444E-01       0.38113E-01      -0.76413E+01      -0.15168E+02      -0.59074E+01      -0.12181E+02
      0      1       0.79389E-01       0.88523E-02      -0.15226E+01      -0.21714E+01      -0.31033E+01      -0.45632E+01
      0      1       0.16987E+00      -0.37087E-01       0.17982E+01       0.19761E+01      -0.21886E+01      -0.33989E+01
      0      1      -0.15175E-02       0.11985E-01       0.16719E+01       0.36742E+01      -0.80527E+01      -0.17499E+02
      0      1      -0.14952E+00       0.83143E-01       0.32605E+01       0.67819E+01       0.51166E+01       0.10120E+02
      0      1      -0.11527E+00      -0.18561E-01       0.23242E+01       0.49566E+01      -0.77712E+01      -0.15347E+02
      0      1      -0.16028E+00       0.29884E-01      -0.46825E+01      -0.10120E+02      -0.74804E+01      -0.16464E+02
      0      1       0.98500E-01       0.18821E-01      -0.39397E+00       0.23073E-01       0.93830E+01       0.17755E+02
      0      1       0.37711E-01      -0.22241E-01      -0.38680E+01      -0.85853E+01      -0.53733E+01      -0.10744E+02
      0      1      -0.11676E+00       0.31270E-01      -0.29571E+01      -0.62831E+01      -0.86456E+01      -0.16088E+02
      0      1       0.17962E+00      -0.62512E-01       0.12762E+01       0.25902E+01       0.96492E+01       0.18955E+02
      0      1      -0.69433E-01       0.25484E-01      -0.62368E+01      -0.14005E+02       0.16948E+01       0.35193E+01
      0      1      -0.16957E+00       0.13913E-01      -0.18631E+01      -0.37552E+01       0.19542E+01       0.27712E+01
      0      1      -0.69487E-01       0.45234E-01      -0.35849E+01      -0.80748E+01      -0.96893E+01      -0.19845E+02
      0      1      -0.13323E+00       0.48866E-01       0.80881E+01       0.15423E+02      -0.30062E+01      -0.61004E+01
      0      1      -0.20217E+00       0.97457E-01      -0.41695E+01      -0.92118E+01       0.22142E+01       0.47752E+01
      0      1      -0.84751E-01       0.24990E-01      -0.73657E+01      -0.12798E+02       0.37068E+01       0.71840E+01
      0      1       0.72916E-01      -0.98976E-02      -0.57386E+01      -0.12246E+02      -0.14205E+01      -0.19995E+01
