NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
MIDBETA$START,0.0,0,0,0,0,0.0,0.0,8.0,4.0,0,0,0,0,0.05501503861309197,0.03890150687055709
DR1,0.15,0,0,0,0,-0.01875,-0.0375,8.0028125,4.005625,0,0,0,0,0.05502470837554139,0.03892884988317469
RF1,0.3,0,0,0,0,-0.1396308278,-0.1262805436,8.00829574,4.021016647,0,0,0,0,0.055043555625730184,0.03900357038634832
DR2,0.4,0,0,0,0,-0.1523613362,-0.1515464617,8.037494956,4.048799348,0,0,0,0,0.05514381205665197,0.03913808353019627
DR3,0.6,0,0,0,0,-0.1778223532,-0.2020782981,8.103531694,4.119524299,0,0,0,0,0.055369881765275256,0.039478438179391444
DR4,0.8,0,0,0,0,-0.2032833702,-0.2526101344,8.179752839,4.210461986,0,0,0,0,0.055629674548640914,0.03991179901647137
DR5,1.0,0,0,0,0,-0.2287443871,-0.3031419708,8.26615839,4.321612407,0,0,0,0,0.055922720416861506,0.040435175782992175
DR6,1.2,0,0,0,0,-0.2542054041,-0.3536738071,8.362748348,4.452975563,0,0,0,0,0.05624849964561856,0.04104512518038139
RF2,1.3,0,0,0,0,-0.3723536722,-0.4356424648,8.411760223,4.524568255,0,0,0,0,0.056413087698903575,0.04137376093326587
DR7,1.4,0,0,0,0,-0.3858900454,-0.4619385507,8.487584595,4.614326357,0,0,0,0,0.05666677364703587,0.04178213061684451
DR8,1.6,0,0,0,0,-0.4129627918,-0.5145307226,8.647355162,4.809620211,0,0,0,0,0.05719763564374335,0.04265714847469901
DR9,1.8,0,0,0,0,-0.4400355382,-0.5671228945,8.817954828,5.025950935,0,0,0,0,0.05775909282114042,0.043605929759483186
DR10,2.0,0,0,0,0,-0.4671082846,-0.6197150664,8.999383593,5.263318527,0,0,0,0,0.05835026200819055,0.04462376968293679
DR11,2.2,0,0,0,0,-0.4941810311,-0.6723072383,9.191641456,5.521722988,0,0,0,0,0.058970249631201344,0.045706054828121734
DR12,2.45,0,0,0,0,-0.5280219641,-0.7380474532,9.447192205,5.874311661,0,0,0,0,0.05978439026014891,0.04714275085854438
