n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
   0  entry      0.00000       20.00000        0.00000        2.66930        1.88634        7.23477        5.10154        1.72984        4.61571        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05382            15.03330            18.18911          0.00000        0.00000        0.00000        0.00000        0.20833        0.00000        0.00982        0.79083        0.00673        0.39808       -0.00004          20.12218              0.0         10001.0
   1  drift      0.30000       20.00000        0.00000        2.67022        1.89074        7.27713        5.08495        1.73007        4.60945        0.00086           7.50811            12.45969            15.11181             7.44887            12.38176            14.60974             9.05392            15.03479            18.19092          0.00000        0.00000        0.00000        0.00000        0.20833        0.00111       -0.02812        0.79138       -0.06863        0.39994        0.01548          20.12720              0.0         10001.0
   2  rfgap      0.30000       20.34846       -0.02502        2.67022        1.89074        7.27713        5.08495        6.86303       18.24151        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56527            19.79818            27.86513          0.00000       -0.00206        0.00000       -0.00024        0.21019       -0.00255       -0.52820        0.79686       -0.32159        0.40339       -2.28391          76.27453              0.0         10001.0
   3  drift      0.50000       20.34846       -0.02502        2.70645        1.92317        7.39378        5.24104        6.69368       17.93437        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56476            19.79055            27.85440         -0.00004       -0.00206       -0.00001       -0.00024        0.21019        0.02170       -0.56030        0.81863       -0.37629        0.41735       -2.21673          72.56055              0.0         10001.0
   4  drift      0.70000       20.34846       -0.02502        2.74430        1.96002        7.51043        5.39712        6.52520       17.62723        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56427            19.78291            27.84364         -0.00008       -0.00206       -0.00001       -0.00024        0.21019        0.04595       -0.59240        0.84169       -0.43100        0.43350       -2.14953          68.95730              0.0         10001.0
   5  drift      0.90000       20.34846       -0.02502        2.78369        2.00104        7.62708        5.55321        6.35765       17.32008        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56378            19.77525            27.83287         -0.00012       -0.00206       -0.00002       -0.00024        0.21019        0.07020       -0.62450        0.86603       -0.48571        0.45183       -2.08233          65.46481              0.0         10001.0
   6  drift      1.10000       20.34846       -0.02502        2.82457        2.04598        7.74373        5.70929        6.19111       17.01294        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56331            19.76759            27.82208         -0.00017       -0.00206       -0.00002       -0.00024        0.21019        0.09445       -0.65660        0.89165       -0.54041        0.47235       -2.01512          62.08311              0.0         10001.0
   7  drift      1.30000       20.34846       -0.02502        2.86687        2.09459        7.86038        5.86538        6.02566       16.70579        0.00224           7.52273            12.51169            15.34236             7.45075            12.32626            14.66539             9.56284            19.78772            27.81127         -0.00021       -0.00206       -0.00002       -0.00024        0.21019        0.11871       -0.68870        0.91855       -0.59512        0.49506       -1.94790          58.81222              0.0         10001.0
   8  rfgap      1.30000       20.69883       -0.03999        2.86687        2.09459        7.86038        5.86538        5.97594       16.53436        0.00390           7.55875            12.68859            15.57838             7.45789            12.36417            14.69301            10.41331            27.05192            40.04725         -0.00021       -0.00439       -0.00002       -0.00050        0.21202        0.11268       -1.25020        0.92217       -0.89969        0.49891       -3.37790          54.04404              0.0         10001.0
   9  drift      1.50000       20.69883       -0.03999        2.94526        2.17175        8.06956        6.09349        5.67044       15.96148        0.00390           7.55875            12.68859            15.57838             7.45789            12.36417            14.69301            10.41293            27.03956            40.02896         -0.00029       -0.00439       -0.00004       -0.00050        0.21202        0.15112       -1.30578        0.97329       -0.97223        0.53635       -3.18976          48.66139              0.0         10001.0
  10  drift      1.70000       20.69883       -0.03999        3.02489        2.25194        8.27874        6.32161        5.36655       15.38860        0.00390           7.55875            12.68859            15.57838             7.45789            12.36417            14.69301            10.41260            27.02712            40.01054         -0.00038       -0.00439       -0.00005       -0.00050        0.21202        0.18957       -1.36137        1.02663       -1.04476        0.57669       -3.00160          43.58686              0.0         10001.0
  11  drift      1.90000       20.69883       -0.03999        3.10568        2.33484        8.48792        6.54972        5.06457       14.81572        0.00390           7.55875            12.68859            15.57838             7.45789            12.36417            14.69301            10.41231            27.01458            39.99198         -0.00047       -0.00439       -0.00006       -0.00050        0.21202        0.22802       -1.41696        1.08220       -1.11730        0.61993       -2.81341          38.82056              0.0         10001.0
  12  drift      2.10000       20.69883       -0.03999        3.18752        2.42018        8.69709        6.77784        4.76485       14.24284        0.00390           7.55875            12.68859            15.57838             7.45789            12.36417            14.69301            10.41208            27.04193            39.97329         -0.00056       -0.00439       -0.00007       -0.00050        0.21202        0.26647       -1.47254        1.13999       -1.18983        0.66608       -2.62520          34.36259              0.0         10001.0
