,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
0,3.0,4.0,4.0,1.1840181156289975e-08,1.4024547313043248e-16,5.558331666825366e-20,2.3576114325361943e-10,8.667461260321893e-05,0.0,0.6
1,3.0,4.0,6.0,1.0184482411527854e-08,1.0375820290715642e-16,3.4520916436202974e-20,1.8579805283210847e-10,4.032394089326662e-05,0.0,0.6
2,3.0,4.0,8.0,8.87582063291353e-09,7.88026799696937e-17,2.2488062040167112e-20,1.4996020152082721e-10,1.9517817855781674e-05,0.0,0.6
3,3.0,4.0,10.0,7.827512473970027e-09,6.128533325329188e-17,1.538172313551596e-20,1.2402307501233776e-10,1.0196177313683937e-05,0.0,0.6
4,3.0,4.0,12.0,6.949700723924419e-09,4.830907758000187e-17,1.0737427886276168e-20,1.0362156091410787e-10,5.309968422871436e-06,0.0,0.6
5,3.0,4.0,16.0,5.635634901502243e-09,3.1766084044473745e-17,5.70330144354734e-21,7.552020553168099e-11,1.5329242208713457e-06,0.0,0.6
6,3.0,4.0,20.0,4.680556576619269e-09,2.1910928366584662e-17,3.318499650767305e-21,5.760642022177133e-11,5.176013467298837e-07,0.0,0.6
7,5.0,4.0,4.0,1.4477011492147736e-08,2.0967066558834705e-16,8.680384456941058e-20,2.9462492184031304e-10,0.00010387972152765671,0.0,0.6
8,5.0,4.0,6.0,1.2326128066253053e-08,1.5198555545360613e-16,5.2122347934915305e-20,2.28303193002015e-10,4.625049783060026e-05,0.0,0.6
9,5.0,4.0,8.0,1.0648977961834204e-08,1.1343363714865295e-16,3.290551702238771e-20,1.8139877899916446e-10,2.114399959289201e-05,0.0,0.6
10,5.0,4.0,10.0,9.314580695588447e-09,8.678318650002397e-17,2.1772965395023494e-20,1.4755665147672434e-10,1.0175820747106398e-05,0.0,0.6
11,5.0,4.0,12.0,8.245953031086862e-09,6.801088612185776e-17,1.514473096715769e-20,1.2306393040675114e-10,5.36507086715995e-06,0.0,0.6
