,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
0,3.0,4.0,8.0,8.87582063291353e-09,7.88026799696937e-17,2.2488062040167112e-20,1.4996020152082721e-10,0.003342691326891334,1.812219037323349e-18,0.6
1,3.0,4.0,10.0,7.827512473970027e-09,6.128533325329188e-17,1.538172313551596e-20,1.2402307501233776e-10,0.0024266610815384705,1.5295501414897098e-19,0.6
2,3.0,4.0,12.0,6.949700723924419e-09,4.830907758000187e-17,1.0737427886276168e-20,1.0362156091410787e-10,0.0017601362128745477,1.1056840942939767e-20,0.6
3,3.0,4.0,16.0,5.635634901502243e-09,3.1766084044473745e-17,5.70330144354734e-21,7.552020553168099e-11,0.0009564902409252448,4.9510493444851474e-23,0.6
4,3.0,4.0,20.0,4.680556576619269e-09,2.1910928366584662e-17,3.318499650767305e-21,5.760642022177133e-11,0.0005621901864471292,2.761138310834234e-25,0.6
5,5.0,4.0,8.0,1.0648977961834204e-08,1.1343363714865295e-16,3.290551702238771e-20,1.8139877899916446e-10,0.0034774452754578957,2.873819392101005e-18,0.6
6,5.0,4.0,10.0,9.314580695588447e-09,8.678318650002397e-17,2.1772965395023494e-20,1.4755665147672434e-10,0.0024242728522146447,1.8066208712256429e-19,0.6
7,5.0,4.0,12.0,8.245953031086862e-09,6.801088612185776e-17,1.514473096715769e-20,1.2306393040675114e-10,0.0017690941504248047,1.3666451037000253e-20,0.6
8,5.0,4.0,16.0,6.5984636634120424e-09,4.354741923433299e-17,7.696516963917337e-21,8.772979518907666e-11,0.0009122281850371595,3.778210234646691e-23,0.6
9,5.0,4.0,20.0,5.428106907495109e-09,2.9468651460786996e-17,4.30686159087566e-21,6.562668352793443e-11,0.0005002081210656582,1.0041977758502228e-25,0.6
10,7.0,4.0,8.0,1.0152441340875764e-08,1.030953282398247e-16,2.326305990141334e-20,1.5252232591136728e-10,0.001833586489793069,2.2423189440470623e-20,0.6
11,7.0,4.0,10.0,8.917543102731206e-09,7.95381195136313e-17,1.5544524562394032e-20,1.2467768269579778e-10,0.0012276936165415964,7.05301015676274e-22,0.6
12,7.0,4.0,12.0,7.917755377727497e-09,6.270171223926341e-17,1.086201773071556e-20,1.0422100426840819e-10,0.0008583688160162724,2.6026763797868448e-23,0.6
13,7.0,4.0,16.0,6.369750789479036e-09,4.057936368076112e-17,5.638560692317092e-21,7.509035019439643e-11,0.0004224615346207336,2.1200441649581778e-26,0.6
14,7.0,4.0,20.0,5.265299239251516e-09,2.7726592679670306e-17,3.2166008077174683e-21,5.67150844812689e-11,0.0002233702126391984,0.0,0.6
