FWHM,Diameter,dist,a0,a2
4.0,3.0,4.0,1.2010443295539077e-08,3.5253373126137366
4.0,3.0,8.0,8.983773841196526e-09,3.835360495279649
4.0,3.0,12.0,7.024139130941199e-09,4.088471145654467
4.0,3.0,16.0,5.689799544907568e-09,4.3172651377911135
4.0,3.0,20.0,4.721825298213413e-09,4.508367481350756
4.0,5.0,4.0,1.4689882816381937e-08,3.485992871358614
4.0,5.0,8.0,1.0779582359546016e-08,3.8193000488196955
4.0,5.0,12.0,8.334359518097113e-09,4.086520524353744
4.0,5.0,16.0,6.661378279899208e-09,4.334601003313215
4.0,5.0,20.0,5.475110446692135e-09,4.549430455410163
4.0,7.0,4.0,1.3815365337613179e-08,3.737749307579723
4.0,7.0,8.0,1.0262021597534757e-08,4.072739221687596
4.0,7.0,12.0,7.992486024997185e-09,4.356779432647764
4.0,7.0,16.0,6.4235152775997235e-09,4.6082413679542915
4.0,7.0,20.0,5.3058633629611335e-09,4.824384127532151
5.0,3.0,4.0,1.0462995313773102e-08,3.8361168093713154
5.0,3.0,8.0,7.958483241910993e-09,4.149270304330352
5.0,3.0,12.0,6.317742671692352e-09,4.4063723601227665
5.0,3.0,16.0,5.159679288385484e-09,4.630589332284815
5.0,3.0,20.0,4.312630646449992e-09,4.836126132213741
5.0,5.0,4.0,1.2842449764766296e-08,3.7679950260999298
5.0,5.0,8.0,9.597766214517494e-09,4.100467433117216
5.0,5.0,12.0,7.512446489349783e-09,4.381282758540729
5.0,5.0,16.0,6.070473710697915e-09,4.627670870806034
5.0,5.0,20.0,5.02412383025862e-09,4.843074114852903
5.0,7.0,4.0,1.2343945244811579e-08,3.9787001591416744
5.0,7.0,8.0,9.305895068627832e-09,4.315027833301546
5.0,7.0,12.0,7.313561977907932e-09,4.604155555065898
5.0,7.0,16.0,5.933775900850048e-09,4.857230838375133
5.0,7.0,20.0,4.927758184153701e-09,5.082086340616135
6.0,3.0,4.0,9.108844569855753e-09,4.175764238300402
6.0,3.0,8.0,7.063077664006731e-09,4.481794141969882
6.0,3.0,12.0,5.65973162973304e-09,4.756882561356201
6.0,3.0,16.0,4.667939384851438e-09,4.995463514402384
6.0,3.0,20.0,3.929752963429175e-09,5.193081797969474
6.0,5.0,4.0,1.1190848266232959e-08,4.077549092240431
6.0,5.0,8.0,8.509249373855015e-09,4.41786384931392
6.0,5.0,12.0,6.7415538422500465e-09,4.70918879232475
6.0,5.0,16.0,5.508557394114799e-09,4.94710602275971
6.0,5.0,20.0,4.595396359157251e-09,5.166524542770911
6.0,7.0,4.0,1.0933105486516905e-08,4.250407111782361
6.0,7.0,8.0,8.372314338308676e-09,4.594735584227283
6.0,7.0,12.0,6.651870135718004e-09,4.892833905736495
6.0,7.0,16.0,5.44472679856484e-09,5.145545602068131
6.0,7.0,20.0,4.555912287512877e-09,5.372201605470665
