,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
0,3.0,4.0,4.0,1.193386973669903e-08,1.42428752551412e-16,1.1505658911009525e-20,1.0726443451120937e-10,5.216502955490193e-05,0.0,0.4
1,3.0,4.0,8.0,8.935310750938657e-09,7.984440038295862e-17,4.622167118662832e-21,6.798652159555476e-11,1.0750790740446304e-05,0.0,0.4
2,3.0,4.0,12.0,6.9907613818047045e-09,4.887294139329484e-17,2.196695962814911e-21,4.686892320946696e-11,2.705916620232698e-06,0.0,0.4
3,3.0,4.0,16.0,5.665534316589535e-09,3.209944176137513e-17,1.1626689214729357e-21,3.4097931337149116e-11,7.25044419283338e-07,0.0,0.4
4,3.0,4.0,20.0,4.70334936274084e-09,2.212216999895222e-17,6.747709575535817e-22,2.5976353815606642e-11,2.29327353470022e-07,0.0,0.4
5,5.0,4.0,4.0,1.459412098933725e-08,2.130063542276101e-16,1.7986776196000806e-20,1.3411478738752413e-10,6.319360631695796e-05,0.0,0.4
6,5.0,4.0,8.0,1.0720945663709566e-08,1.1494544148856813e-16,6.765564355173775e-21,8.225305073475254e-11,1.1702216934498506e-05,0.0,0.4
7,5.0,4.0,12.0,8.29471823295929e-09,6.880544902118248e-17,3.0984569952026536e-21,5.566378531148105e-11,2.7356874521999804e-06,0.0,0.4
8,5.0,4.0,16.0,6.63319491477376e-09,4.400084339414822e-17,1.5686167677481934e-21,3.96057668496419e-11,6.544085868201314e-07,0.0,0.4
9,5.0,4.0,20.0,5.454069769540416e-09,2.974775234433271e-17,8.752933180670366e-22,2.958535648031027e-11,1.779908819538691e-07,0.0,0.4
10,7.0,4.0,4.0,1.3736928306291239e-08,1.8871529689568844e-16,1.2097603502954774e-20,1.0998910629219048e-10,1.7909613846715812e-05,0.0,0.4
11,7.0,4.0,8.0,1.0212883129647582e-08,1.0430774231101747e-16,4.7604911772842934e-21,6.899631278035293e-11,2.955156534439855e-06,0.0,0.4
12,7.0,4.0,12.0,7.959012172831548e-09,6.334808785131151e-17,2.213084030751383e-21,4.704342707277376e-11,5.736620192162507e-07,0.0,0.4
