Diameter,FWHM,dist,shift[mm],yield[Bq/Bq/uA/s]
3.0,4.0,4.0,0.0,1.2196775507782206e-08
3.0,4.0,4.0,2.0,1.0075741726676575e-08
3.0,4.0,4.0,4.0,6.058524396036198e-09
3.0,4.0,4.0,6.0,3.131596304759019e-09
3.0,4.0,8.0,0.0,9.145685820582792e-09
3.0,4.0,8.0,2.0,7.721562231521438e-09
3.0,4.0,8.0,4.0,5.002201272369078e-09
3.0,4.0,8.0,6.0,2.869012835419117e-09
3.0,4.0,12.0,0.0,7.143471104902263e-09
3.0,4.0,12.0,2.0,6.157671179117676e-09
3.0,4.0,12.0,4.0,4.17626560850357e-09
3.0,4.0,12.0,6.0,2.556935305141327e-09
3.0,4.0,16.0,0.0,5.793468255081089e-09
3.0,4.0,16.0,2.0,5.0491581695230525e-09
3.0,4.0,16.0,4.0,3.553809807075576e-09
3.0,4.0,16.0,6.0,2.2966062869547993e-09
3.0,4.0,20.0,0.0,4.81117756652228e-09
3.0,4.0,20.0,2.0,4.223823933314721e-09
3.0,4.0,20.0,4.0,3.0663665511451118e-09
3.0,4.0,20.0,6.0,2.04773761332712e-09
5.0,4.0,4.0,0.0,1.482355422930357e-08
5.0,4.0,4.0,2.0,1.2356459311697534e-08
5.0,4.0,4.0,4.0,7.413750684579981e-09
5.0,4.0,4.0,6.0,3.576910549399085e-09
5.0,4.0,8.0,0.0,1.0898555474036183e-08
5.0,4.0,8.0,2.0,9.317612394926435e-09
5.0,4.0,8.0,4.0,6.0536194026395774e-09
5.0,4.0,8.0,6.0,3.319955320304324e-09
5.0,4.0,12.0,0.0,8.434945450592375e-09
5.0,4.0,12.0,2.0,7.33356749614591e-09
5.0,4.0,12.0,4.0,5.007461126768705e-09
5.0,4.0,12.0,6.0,2.9788087789507945e-09
5.0,4.0,16.0,0.0,6.742124706275702e-09
5.0,4.0,16.0,2.0,5.949014634489786e-09
5.0,4.0,16.0,4.0,4.216550776967967e-09
5.0,4.0,16.0,6.0,2.6681823008208445e-09
5.0,4.0,20.0,0.0,5.5451871927469415e-09
5.0,4.0,20.0,2.0,4.935099319865969e-09
5.0,4.0,20.0,4.0,3.6105519408908752e-09
5.0,4.0,20.0,6.0,2.3819061297833986e-09
7.0,4.0,4.0,0.0,1.3852027166082755e-08
7.0,4.0,4.0,2.0,1.1958811620772579e-08
7.0,4.0,4.0,4.0,7.7095016678171e-09
7.0,4.0,4.0,6.0,3.8893082316302814e-09
7.0,4.0,8.0,0.0,1.03077691026471e-08
7.0,4.0,8.0,2.0,9.080080753773333e-09
7.0,4.0,8.0,4.0,6.23941272904179e-09
7.0,4.0,8.0,6.0,3.5496444128233785e-09
7.0,4.0,12.0,0.0,8.038482502521283e-09
7.0,4.0,12.0,2.0,7.176814315824657e-09
7.0,4.0,12.0,4.0,5.153535678648147e-09
7.0,4.0,12.0,6.0,3.1684544961905057e-09
7.0,4.0,16.0,0.0,6.468382936271933e-09
7.0,4.0,16.0,2.0,5.828070803169931e-09
7.0,4.0,16.0,4.0,4.327908755059084e-09
7.0,4.0,16.0,6.0,2.8127656744262575e-09
7.0,4.0,20.0,0.0,5.350147134192949e-09
7.0,4.0,20.0,2.0,4.848224028419259e-09
7.0,4.0,20.0,4.0,3.6930748456651148e-09
7.0,4.0,20.0,6.0,2.5004330499333288e-09
3.0,5.0,4.0,0.0,1.0577249798491495e-08
3.0,5.0,4.0,2.0,9.057881527471918e-09
3.0,5.0,4.0,4.0,5.902599417747649e-09
3.0,5.0,4.0,6.0,3.255410800522238e-09
3.0,5.0,8.0,0.0,8.050154807149164e-09
3.0,5.0,8.0,2.0,7.032167044760357e-09
3.0,5.0,8.0,4.0,4.8592647490607686e-09
3.0,5.0,8.0,6.0,2.9248694661658003e-09
3.0,5.0,12.0,0.0,6.3983758825972775e-09
3.0,5.0,12.0,2.0,5.6509264976062826e-09
3.0,5.0,12.0,4.0,4.070694255177383e-09
3.0,5.0,12.0,6.0,2.596773947248511e-09
3.0,5.0,16.0,0.0,5.219813166885348e-09
3.0,5.0,16.0,2.0,4.674119538334747e-09
3.0,5.0,16.0,4.0,3.450933690081022e-09
3.0,5.0,16.0,6.0,2.307086976759245e-09
3.0,5.0,20.0,0.0,4.362014293941416e-09
3.0,5.0,20.0,2.0,3.939411504936519e-09
3.0,5.0,20.0,4.0,2.9790207426065887e-09
3.0,5.0,20.0,6.0,2.0593558858673282e-09
5.0,5.0,4.0,0.0,1.2930656996675649e-08
5.0,5.0,4.0,2.0,1.1093936602531842e-08
5.0,5.0,4.0,4.0,7.180519553551951e-09
5.0,5.0,4.0,6.0,3.752123591439624e-09
5.0,5.0,8.0,0.0,9.679706977360262e-09
5.0,5.0,8.0,2.0,8.471094597699418e-09
5.0,5.0,8.0,4.0,5.841585877676483e-09
5.0,5.0,8.0,6.0,3.403360115520182e-09
5.0,5.0,12.0,0.0,7.57624284960781e-09
5.0,5.0,12.0,2.0,6.736173894467542e-09
5.0,5.0,12.0,4.0,4.8498867148294085e-09
5.0,5.0,12.0,6.0,3.0261541118946694e-09
5.0,5.0,16.0,0.0,6.1250896938645606e-09
5.0,5.0,16.0,2.0,5.503278079391332e-09
5.0,5.0,16.0,4.0,4.090249186918531e-09
5.0,5.0,16.0,6.0,2.6877396140356874e-09
5.0,5.0,20.0,0.0,5.0721101646096435e-09
5.0,5.0,20.0,2.0,4.590075786625095e-09
